Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX1_3-scaffold_109_c1_41	4.2.2.n1:10	GH103(24-311)	GH103_e0	GH103	N	3
700mSIPHEX1_3-scaffold_109_c1_76	3.5.1.108:18	CE11(4-275)	CE11_e22	CE11	N	3
700mSIPHEX1_3-scaffold_109_c1_82	2.4.1.227:11	GT28(187-347)	GT28_e46	GT28	N	3
700mSIPHEX1_3-scaffold_129_c2_9	-	GT51(59-233)	GT51_e153	GT51	N	3
700mSIPHEX1_3-scaffold_12_c1_169	-	GH84(8-302)	GH84_e12	GH84	N	3
700mSIPHEX1_3-scaffold_12_c1_361	1.10.3.2:4|1.10.3.-:1	AA1(71-614)	AA1_e46	-	N	2
700mSIPHEX1_3-scaffold_12_c1_380	-	AA7(47-230)	-	-	N	1
700mSIPHEX1_3-scaffold_12_c1_42	-	GH103(43-336)	GH103_e38	GH103	Y(1-34)	3
700mSIPHEX1_3-scaffold_12_c1_489	-	GT4(554-705)	GT4_e20	GT4	N	3
700mSIPHEX1_3-scaffold_12_c1_67	-	AA3(25-528)	-	-	N	1
700mSIPHEX1_3-scaffold_134_c1_20	-	AA6(8-198)	AA6_e2	-	N	2
700mSIPHEX1_3-scaffold_199_c1_30	4.2.2.n1:2	GH23(302-448)	GH23_e551	GH23	Y(1-28)	3
700mSIPHEX1_3-scaffold_199_c1_4	-	GT2(19-134)	GT2	GT2	N	3
700mSIPHEX1_3-scaffold_24_c1_146	-	GT90(151-317)	GT90_e1	-	N	2
700mSIPHEX1_3-scaffold_24_c1_377	-	GT81(30-320)	GT81_e1	GT81	N	3
700mSIPHEX1_3-scaffold_24_c1_378	-	GH13_18(87-428)	GH13_e237	GH13_18	N	3
700mSIPHEX1_3-scaffold_24_c1_43	-	GT4(233-377)	GT4_e1295	GT4	N	3
700mSIPHEX1_3-scaffold_284_c1_20	-	GT51(182-353)	GT51_e15	GT51	N	3
700mSIPHEX1_3-scaffold_31_c1_130	-	AA6(5-199)	AA6_e2	-	N	2
700mSIPHEX1_3-scaffold_31_c1_256	-	PL5(39-341)	PL5_e7	PL5	N	3
700mSIPHEX1_3-scaffold_31_c1_265	2.4.1.33:1	GT2(87-343)	GT2	GT2	N	3
700mSIPHEX1_3-scaffold_328_c1_11	-	GT25(7-176)	GT25_e132	GT25	N	3
700mSIPHEX1_3-scaffold_328_c1_13	-	GT2(5-121)	GT2	GT2	N	3
700mSIPHEX1_3-scaffold_328_c1_19	-	GT4(221-358)	GT4_e402	GT4	N	3
700mSIPHEX1_3-scaffold_328_c1_20	-	GT2(8-106)	GT2	GT2	N	3
700mSIPHEX1_3-scaffold_328_c1_24	-	GT4(172-300)	GT4_e1161	GT4	N	3
700mSIPHEX1_3-scaffold_328_c1_25	-	GT4(188-337)	GT4_e1776	GT4	N	3
700mSIPHEX1_3-scaffold_328_c1_28	2.4.99.-:25	GT30(34-210)	GT30_e0	GT30	N	3
700mSIPHEX1_3-scaffold_328_c1_7	-	GT9(70-297)	GT9_e54	GT9	N	3
700mSIPHEX1_3-scaffold_33_c1_226	-	CE1(21-277)	-	-	N	1
700mSIPHEX1_3-scaffold_33_c1_38	3.2.1.1:2|3.2.1.-:1|3.2.1.-:1	GH13_24(52-323)+CBM20(474-564)	GH13_e23+CBM20_e11	CBM20+GH13_32	Y(1-27)	3
700mSIPHEX1_3-scaffold_41_c1_164	-	GH73(178-314)	GH73_e204	GH73	N	3
700mSIPHEX1_3-scaffold_41_c1_273	-	CE13(57-246)	-	-	N	1
700mSIPHEX1_3-scaffold_52_c1_133	-	GH73(137-263)	GH73_e151	GH73	Y(1-22)	3
700mSIPHEX1_3-scaffold_65_c1_93	-	GH23(120-223)	GH23_e958	GH23	Y(1-26)	3
700mSIPHEX1_3-scaffold_65_c1_95	2.4.1.129:10	GT51(50-214)	GT51_e0	GT51	N	3
