Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
5mSIPHEX1_19-scaffold_104_c1_15	-	GT51(218-389)	GT51_e15	GT51	N	3
5mSIPHEX1_19-scaffold_104_c1_97	-	AA3(44-541)	-	-	N	1
5mSIPHEX1_19-scaffold_15_c1_106	-	AA3(1-493)	-	-	N	1
5mSIPHEX1_19-scaffold_15_c1_132	-	CE1(28-277)	-	-	N	1
5mSIPHEX1_19-scaffold_15_c1_217	-	GT4(201-346)	GT4_e1295	GT4	N	3
5mSIPHEX1_19-scaffold_15_c1_233	-	GT4(200-337)	GT4_e1620	GT4	N	3
5mSIPHEX1_19-scaffold_15_c1_237	-	GH103(37-319)	GH103_e29	GH103	Y(1-19)	3
5mSIPHEX1_19-scaffold_15_c1_315	-	GH23(475-607)	GH23_e814	GH23	Y(1-24)	3
5mSIPHEX1_19-scaffold_175_c1_50	-	GT83(6-456)	GT83_e35	GT83	N	3
5mSIPHEX1_19-scaffold_175_c1_51	-	GT2(5-148)	GT2	GT2	N	3
5mSIPHEX1_19-scaffold_175_c1_53	2.4.99.-:11	GT9(76-310)	GT9_e71	GT9	N	3
5mSIPHEX1_19-scaffold_197_c1_45	1.6.5.6:3	AA6(4-180)	AA6_e0	-	N	2
5mSIPHEX1_19-scaffold_21_c1_144	-	GH23(296-449)	GH23_e824	GH23	Y(1-24)	3
5mSIPHEX1_19-scaffold_21_c1_209	-	GH73(189-324)	GH73_e204	GH73	N	3
5mSIPHEX1_19-scaffold_228_c1_38	3.5.1.108:18	CE11(4-275)	CE11_e22	CE11	N	3
5mSIPHEX1_19-scaffold_228_c1_44	2.4.1.227:11	GT28(181-341)	GT28_e46	GT28	N	3
5mSIPHEX1_19-scaffold_229_c1_7	-	GT51(79-242)	GT51_e71	GT51	N	3
5mSIPHEX1_19-scaffold_25_c1_145	-	GH23(201-355)	GH23_e625	GH23	Y(1-28)	3
5mSIPHEX1_19-scaffold_25_c1_183	-	GH73(115-244)	GH73_e151	GH73	Y(1-19)	3
5mSIPHEX1_19-scaffold_25_c1_99	2.4.1.-:4	GT104(5-376)	GT104_e0	GT104	N	3
5mSIPHEX1_19-scaffold_48_c1_170	3.2.1.109:1	GH114(56-245)	GH114_e0	GH114	Y(1-26)	3
5mSIPHEX1_19-scaffold_48_c1_179	2.4.1.7:1	GH13_18(36-370)	GH13_e117	GH13_18	N	3
5mSIPHEX1_19-scaffold_48_c1_183	2.4.1.213:1	GT20(251-738)	GT20_e8	GT20	N	3
5mSIPHEX1_19-scaffold_55_c1_100	3.2.1.52:1	GH3(65-289)	GH3_e78	GH3	N	3
5mSIPHEX1_19-scaffold_55_c1_115	-	GH19(45-145)	GH19_e101	GH19	N	3
5mSIPHEX1_19-scaffold_55_c1_174	-	CE4(80-210)	CE4_e95	-	Y(1-28)	2
5mSIPHEX1_19-scaffold_55_c1_71	-	GH13_18(95-435)	GH13_e237	GH13_18	N	3
5mSIPHEX1_19-scaffold_55_c1_74	-	GT81(89-320)	GT81_e1	GT81	N	3
5mSIPHEX1_19-scaffold_69_c1_149	-	GT51(36-211)	GT51_e153	GT51	N	3
5mSIPHEX1_19-scaffold_69_c1_150	-	AA4(5-191)	-	-	N	1
5mSIPHEX1_19-scaffold_70_c1_1	2.4.99.-:25	GT30(33-211)	GT30_e0	GT30	N	3
5mSIPHEX1_19-scaffold_70_c1_44	-	AA3(44-514)	-	-	Y(1-32)	1
5mSIPHEX1_19-scaffold_733_c1_11	-	AA3(56-549)	-	-	Y(1-23)	1
5mSIPHEX1_19-scaffold_90_c1_48	-|-|-	GH23(98-240)	GH23_e756+CBM50_e496+CBM50_e496	CBM50+GH23	Y(1-20)	3
5mSIPHEX1_19-scaffold_104_c1_33	-	-	GT2	GT0	N	2
