Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
700mSIPHEX1_20-scaffold_10_c1_108	AZC46349.1|GT28	51.4	356	172	1	14	369	22	376	1.14e-106	335
700mSIPHEX1_20-scaffold_10_c1_109	BAP13466.1|GT28	96.4	357	13	0	1	357	1	357	2.97e-243	667
700mSIPHEX1_20-scaffold_10_c1_115	BAP13472.1|CE11	98.6	279	4	0	1	279	1	279	1.10e-192	533
700mSIPHEX1_20-scaffold_10_c1_128	UHQ54871.1|GT2	76.4	280	66	0	4	283	7	286	9.09e-149	422
700mSIPHEX1_20-scaffold_10_c1_154	QYO62262.1|GH13	64.8	352	116	2	1	352	1	344	6.46e-148	437
700mSIPHEX1_20-scaffold_10_c1_162	AHC21644.2|GH1	50.2	520	255	2	3	522	8	523	1.44e-176	512
700mSIPHEX1_20-scaffold_10_c1_227	BCV60709.1|CBM13	34.1	751	373	26	77	789	47	713	8.45e-106	352
700mSIPHEX1_20-scaffold_10_c1_232	BAP13569.1|GH114	88.5	261	30	0	1	261	1	261	2.30e-177	493
700mSIPHEX1_20-scaffold_10_c1_289	AGL64353.2|CBM50|GH25	47.8	571	290	6	1	569	1	565	1.65e-174	510
700mSIPHEX1_20-scaffold_10_c1_299	ALR08738.2|GT83	55.1	594	249	7	1	584	1	586	6.83e-219	625
700mSIPHEX1_20-scaffold_10_c1_334	CAL16232.1|GH23	88.7	467	53	0	1	467	1	467	7.60e-304	830
700mSIPHEX1_20-scaffold_10_c1_35	AGL64700.2|GH23	50.6	352	172	2	8	358	7	357	1.16e-119	355
700mSIPHEX1_20-scaffold_10_c1_450	QWC20507.1|AA3_2	49.7	527	258	4	2	528	5	524	6.19e-178	516
700mSIPHEX1_20-scaffold_10_c1_453	CAL16337.1|GH166	83.3	886	145	2	1	886	74	956	0.0	1556
700mSIPHEX1_20-scaffold_10_c1_459	BAP13807.1|GT4	94.2	515	30	0	1	515	1	515	0.0	983
700mSIPHEX1_20-scaffold_10_c1_461	ACM64804.2|GT51	26.6	1674	1078	39	231	1857	190	1759	5.76e-149	510
700mSIPHEX1_20-scaffold_10_c1_463	BAP13811.1|GT51	89.5	775	77	2	3	773	4	778	0.0	1386
700mSIPHEX1_20-scaffold_10_c1_474	QWA11134.1|GT2	54.8	347	155	1	1	347	288	632	1.62e-132	397
