Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_37-scaffold_1056_c1_8	URM35469.1|GT4	51.5	338	158	5	1	334	1	336	7.11e-114	338
5mSIPHEX1_37-scaffold_107_c2_1	AZV31449.1|GH23	40.6	572	325	9	1	567	245	806	9.93e-126	402
5mSIPHEX1_37-scaffold_111_c1_113	ACU62277.1|GH35	50.3	396	182	3	1	396	3	383	3.32e-122	380
5mSIPHEX1_37-scaffold_111_c1_24	AXT44552.1|GH103	78.2	385	76	2	12	394	3	381	2.95e-213	594
5mSIPHEX1_37-scaffold_111_c1_28	ANT63369.1|GH103	73.7	392	103	0	18	409	5	396	2.72e-220	613
5mSIPHEX1_37-scaffold_111_c1_36	CAI32746.2|GT4	54.6	392	172	1	1	386	1	392	5.90e-150	434
5mSIPHEX1_37-scaffold_111_c1_43	AGN91810.2|GT4	42.6	474	261	4	1	468	1	469	1.59e-123	373
5mSIPHEX1_37-scaffold_111_c1_66	ATE86697.1|GH36	49.2	520	236	5	1	519	718	1210	3.00e-149	463
5mSIPHEX1_37-scaffold_111_c1_7	UKZ76834.1|GH93	37.4	596	340	13	31	619	1	570	7.63e-118	377
5mSIPHEX1_37-scaffold_111_c1_77	QKX55086.1|GH55	37.4	605	324	13	3	569	796	1383	1.64e-126	409
5mSIPHEX1_37-scaffold_114_c1_10	AMJ19575.1|GT9	43.6	353	191	4	3	348	5	356	2.19e-103	313
5mSIPHEX1_37-scaffold_114_c2_25	AHD01857.1|GT14	78.1	525	115	0	21	545	1	525	1.02e-308	848
5mSIPHEX1_37-scaffold_114_c2_36	ANP36736.1|GT51	78.3	759	142	5	1	748	1	747	0.0	1139
5mSIPHEX1_37-scaffold_114_c2_72	ANP36369.1|GH23	71.0	652	189	0	1	652	4	655	0.0	903
5mSIPHEX1_37-scaffold_114_c2_89	UKZ91289.1|AA0	61.0	749	264	4	12	737	7	750	0.0	925
5mSIPHEX1_37-scaffold_120_c1_61	CUS03126.2|CBM50	47.3	410	198	6	17	413	10	414	3.36e-117	353
5mSIPHEX1_37-scaffold_1353_c1_7	VCU58971.1|GH24	67.4	239	77	1	1	238	1	239	6.83e-115	333
5mSIPHEX1_37-scaffold_14_c1_5	AGL63717.2|GT4	45.8	681	300	9	161	839	107	720	8.26e-182	546
5mSIPHEX1_37-scaffold_14_c2_5	QYU66396.1|GH13_23	59.6	453	180	3	4	454	3	454	2.94e-171	504
5mSIPHEX1_37-scaffold_14_c2_6	ABF62823.1|PL0	74.5	584	145	1	1	584	1	580	0.0	889
5mSIPHEX1_37-scaffold_14_c3_104	QYU66445.1|GT4	60.1	346	133	2	5	349	8	349	1.37e-136	417
5mSIPHEX1_37-scaffold_14_c3_106	QAX31390.1|GT51	74.3	245	62	1	1	245	1	244	7.68e-126	361
5mSIPHEX1_37-scaffold_14_c3_125	AZV79999.1|GT14	82.5	566	99	0	1	566	1	566	0.0	976
5mSIPHEX1_37-scaffold_14_c3_126	QDI78127.1|GT0	82.0	328	59	0	9	336	1	328	1.89e-206	572
5mSIPHEX1_37-scaffold_14_c3_127	QAX31407.1|GT0	69.1	346	107	0	1	346	1	346	4.15e-180	507
5mSIPHEX1_37-scaffold_14_c3_128	ADN17640.1|GT2	53.6	321	146	1	4	321	11	331	8.11e-110	340
5mSIPHEX1_37-scaffold_14_c3_14	ANP36939.1|GT11	78.7	282	59	1	1	282	1	281	1.98e-162	457
