HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE1.hmm	227	5mSIPHEX1_26-scaffold_1208_c1_2	724	4.7e-19	5	216	482	709	0.9295154185022027
GH23.hmm	135	5mSIPHEX1_26-scaffold_1448_c2_4	500	1.1e-26	2	120	138	272	0.8740740740740741
CBM50.hmm	40	5mSIPHEX1_26-scaffold_1448_c2_4	500	6.4e-17	1	39	455	497	0.95
CE1.hmm	227	5mSIPHEX1_26-scaffold_1547_c1_6	281	2.5e-22	1	211	38	255	0.9251101321585903
GT28.hmm	157	5mSIPHEX1_26-scaffold_1567_c1_2	364	3.2e-47	1	157	193	350	0.9936305732484076
GT51.hmm	177	5mSIPHEX1_26-scaffold_1660_c1_5	245	5.5e-54	12	173	74	234	0.9096045197740112
GT4.hmm	160	5mSIPHEX1_26-scaffold_1670_c1_4	338	1.5e-26	9	153	163	307	0.9
GT4.hmm	160	5mSIPHEX1_26-scaffold_1670_c1_5	644	3.1e-20	10	148	28	167	0.8625
AA4.hmm	522	5mSIPHEX1_26-scaffold_1830_c1_7	260	6e-29	15	259	6	241	0.4674329501915709
GT2.hmm	170	5mSIPHEX1_26-scaffold_1843_c1_3	335	1.5e-24	1	132	4	132	0.7705882352941177
CE1.hmm	227	5mSIPHEX1_26-scaffold_1868_c1_6	215	1.4e-18	10	207	5	196	0.8678414096916299
GH73.hmm	128	5mSIPHEX1_26-scaffold_1879_c1_7	224	1.3e-35	6	128	29	154	0.953125
GT2.hmm	170	5mSIPHEX1_26-scaffold_1961_c1_8	187	1.3e-18	1	118	41	156	0.6882352941176471
GT2.hmm	170	5mSIPHEX1_26-scaffold_2128_c1_2	375	1.3e-16	13	164	5	179	0.888235294117647
CE14.hmm	124	5mSIPHEX1_26-scaffold_2181_c1_5	239	1.6e-23	1	124	6	111	0.9919354838709677
GT2.hmm	170	5mSIPHEX1_26-scaffold_2204_c1_2	393	1.8e-26	1	123	17	134	0.7176470588235294
CE1.hmm	227	5mSIPHEX1_26-scaffold_2314_c1_2	632	7.7e-20	5	221	382	628	0.9515418502202643
GT4.hmm	160	5mSIPHEX1_26-scaffold_2388_c1_2	386	3.4e-41	2	159	197	358	0.98125
GH171.hmm	355	5mSIPHEX1_26-scaffold_2414_c1_4	411	9.6e-123	1	355	64	409	0.9971830985915493
GT2.hmm	170	5mSIPHEX1_26-scaffold_2503_c1_3	272	3.7e-23	1	103	4	107	0.6
GT9.hmm	225	5mSIPHEX1_26-scaffold_2503_c1_4	355	1.5e-31	3	205	70	310	0.8977777777777778
GT2.hmm	170	5mSIPHEX1_26-scaffold_2503_c1_5	254	9.5e-16	3	96	6	89	0.5470588235294118
CE4.hmm	130	5mSIPHEX1_26-scaffold_2609_c1_1	211	6.1e-28	5	125	21	144	0.9230769230769231
GT2.hmm	170	5mSIPHEX1_26-scaffold_2661_c1_4	314	3.7e-25	1	99	4	102	0.5764705882352941
GT2.hmm	170	5mSIPHEX1_26-scaffold_2661_c1_5	73	9.3e-20	1	63	6	67	0.36470588235294116
GH20.hmm	337	5mSIPHEX1_26-scaffold_2762_c1_1	722	5.9e-130	8	335	146	493	0.9703264094955489
GT9.hmm	225	5mSIPHEX1_26-scaffold_3065_c1_2	333	3.3e-31	2	206	59	292	0.9066666666666666
GT2.hmm	170	5mSIPHEX1_26-scaffold_3132_c1_2	314	1.7e-29	1	129	4	134	0.7529411764705882
GH2.hmm	752	5mSIPHEX1_26-scaffold_3214_c1_1	515	3.2e-59	255	576	15	436	0.42686170212765956
CE11.hmm	271	5mSIPHEX1_26-scaffold_3358_c1_4	463	7e-77	1	222	4	226	0.8154981549815498
GH23.hmm	135	5mSIPHEX1_26-scaffold_3477_c1_6	298	2.3e-21	6	126	88	220	0.8888888888888888
GT2.hmm	170	5mSIPHEX1_26-scaffold_3955_c1_4	308	4.2e-33	1	131	5	131	0.7647058823529411
GT4.hmm	160	5mSIPHEX1_26-scaffold_4086_c1_2	372	1.9e-20	5	151	197	333	0.9125
GT2.hmm	170	5mSIPHEX1_26-scaffold_4624_c1_2	241	1.3e-28	2	168	6	171	0.9764705882352941
GT30.hmm	177	5mSIPHEX1_26-scaffold_5046_c1_1	284	2.3e-47	10	176	45	207	0.9378531073446328
GH92.hmm	491	5mSIPHEX1_26-scaffold_525_c1_2	935	2.2e-167	9	448	228	669	0.8940936863543788
GT2.hmm	230	5mSIPHEX1_26-scaffold_5506_c1_3	431	6.8e-20	4	230	16	285	0.9826086956521739
GT2.hmm	170	5mSIPHEX1_26-scaffold_6521_c1_2	370	3.4e-20	1	131	44	177	0.7647058823529411
CE14.hmm	124	5mSIPHEX1_26-scaffold_7417_c1_1	193	1.5e-19	1	113	44	155	0.9032258064516129
GT51.hmm	177	5mSIPHEX1_26-scaffold_7802_c1_1	183	2.5e-40	1	116	65	182	0.6497175141242938
