dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	5mSIPHEX1_33-scaffold_101_c1_70	390	7.6e-144	1	308	56	379	0.9903225806451613	0.9903225806451613
PL6_e0	PL6_1:105|PL6:3	4.2.2.-:1	alginate	364	5mSIPHEX1_33-scaffold_135_c1_21	736	1.8e-139	1	363	43	409	0.9945054945054945	0.9945054945054945
PL6_e5	PL6_1:138	4.2.2.11:4|4.2.2.-:3|4.2.2.26:1	alginate, alginate, alginate	253	5mSIPHEX1_33-scaffold_135_c1_21	736	6.6e-66	4	250	473	719	0.9723320158102767	0.9723320158102767
GH9_e1	GH9:708|CBM4:367|CBM2:150|CBM10:15|CBM3:10|CBM37:10|CBM32:3|CBM30:2|GH3:1|CBM5:1|CBM9:1	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	cellulose, cellulose, beta-glucan, beta-glucan	463	5mSIPHEX1_33-scaffold_135_c1_54	641	3.2e-166	2	463	149	632	0.9956803455723542	0.9956803455723542
GH102_e18	GH102:39	-	-	135	5mSIPHEX1_33-scaffold_146_c1_90	408	9.2e-47	2	134	148	287	0.9777777777777777	0.9777777777777777
GT30_e30	GT30:51|GT4:1	-	-	174	5mSIPHEX1_33-scaffold_17_c1_164	421	3.3e-71	1	173	37	211	0.9885057471264368	0.9885057471264368
GT28_e97	GT28:381	-	-	163	5mSIPHEX1_33-scaffold_18_c1_3	366	2.8e-57	1	163	189	352	0.9938650306748467	0.9938650306748467
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	5mSIPHEX1_33-scaffold_200_c1_23	479	9.1e-56	2	412	44	464	0.9832134292565947	0.9832134292565947
GT2	GT2:42	-	-	208	5mSIPHEX1_33-scaffold_200_c1_45	228	2.9e-52	1	172	7	178	0.8221153846153846	0.8221153846153846
GT51_e77	GT51:1530	-	-	178	5mSIPHEX1_33-scaffold_200_c1_50	893	8e-72	2	178	82	259	0.9887640449438202	0.9887640449438202
GT2	GT2:5	-	-	151	5mSIPHEX1_33-scaffold_255_c1_3	403	1.1e-44	1	150	7	156	0.9867549668874173	0.9867549668874173
GT4_e3073	GT4:12	-	-	147	5mSIPHEX1_33-scaffold_376_c1_18	350	2.8e-67	1	147	166	312	0.9931972789115646	0.9931972789115646
GT2	GT2:6	-	-	166	5mSIPHEX1_33-scaffold_376_c1_31	264	1.5e-96	1	166	23	188	0.9939759036144579	0.9939759036144579
GT2	GT2:363	-	-	152	5mSIPHEX1_33-scaffold_37_c1_219	344	8.3e-67	1	151	14	164	0.9868421052631579	0.9868421052631579
GH43_e194	GH43_9:661|GH28:6|GH43:2|GH43_8:1	3.2.1.55:2	xylan	271	5mSIPHEX1_33-scaffold_61_c1_122	541	3.5e-144	1	270	64	332	0.992619926199262	0.992619926199262
CBM91_e0	CBM91:670|GH43_9:669|GH28:5|GH43:1	-	xylan	181	5mSIPHEX1_33-scaffold_61_c1_122	541	1.6e-70	1	181	360	539	0.994475138121547	0.994475138121547
GH3_e227	GH3:1109|CBM6:10|GH30_3:8|CBM35:2|GH30:2|GH16_3:1|CBM0:1	3.2.1.21:3|3.2.1.74:3|3.2.1.-:3|3.2.1.6:2|3.2.1.155:1	beta-glucan, beta-glucan, beta-glucan, xyloglucan	222	5mSIPHEX1_33-scaffold_61_c1_136	803	6.4e-105	2	222	105	326	0.990990990990991	0.990990990990991
GT51_e158	GT51:844	-	-	164	5mSIPHEX1_33-scaffold_6_c1_201	344	9.7e-67	2	164	53	215	0.9878048780487805	0.9878048780487805
GT51_e71	GT51:5520	-	-	166	5mSIPHEX1_33-scaffold_6_c1_237	686	1.7e-67	1	164	57	219	0.9819277108433735	0.9819277108433735
GH25_e57	GH25:385	-	-	174	5mSIPHEX1_33-scaffold_6_c1_250	230	5.3e-66	1	174	41	215	0.9942528735632183	0.9942528735632183
GH109_e5	GH109:463	-	-	399	5mSIPHEX1_33-scaffold_6_c1_386	402	1.6e-19	4	175	65	232	0.42857142857142855	0.42857142857142855
GT2	GT2:19	-	-	214	5mSIPHEX1_33-scaffold_6_c1_475	365	1.6e-91	1	213	14	226	0.9906542056074766	0.9906542056074766
GT51_e3	GT51:342	-	-	173	5mSIPHEX1_33-scaffold_6_c1_572	676	1.5e-65	3	172	96	265	0.976878612716763	0.976878612716763
GT20_e1	GT20:8450	2.4.1.15:96	-	473	5mSIPHEX1_33-scaffold_6_c1_96	465	8.2e-169	4	469	5	460	0.9830866807610994	0.9830866807610994
CBM66_e14	CBM66:13|GH136:12|PL8_2:1	-	fructan	154	5mSIPHEX1_33-scaffold_92_c1_79	206	9.9e-16	50	152	97	199	0.6623376623376623	0.6623376623376623
GT9_e154	GT9:5	-	-	240	5mSIPHEX1_33-scaffold_100_c1_109	345	1.6e-132	1	240	85	323	0.9958333333333333	0.9958333333333333
GT4_e3056	GT4:563	-	-	140	5mSIPHEX1_33-scaffold_100_c1_74	369	8.1e-55	5	132	187	316	0.9071428571428571	0.9071428571428571
