Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_33-scaffold_100_c1_109	QSR21236.1|GT9	100	344	0	0	1	344	1	344	3.68e-251	686
5mSIPHEX1_33-scaffold_100_c1_110	QSR21235.1|GT4	98.9	380	4	0	7	386	1	380	2.74e-259	710
5mSIPHEX1_33-scaffold_100_c1_74	QSR21271.1|GT4	100	368	0	0	1	368	33	400	6.30e-272	742
5mSIPHEX1_33-scaffold_101_c1_100	QSR23157.1|GH0	99.4	1250	7	0	1	1250	1	1250	0.0	2467
5mSIPHEX1_33-scaffold_101_c1_26	AZU04078.1|GH23	100	227	0	0	13	239	1	227	1.32e-159	446
5mSIPHEX1_33-scaffold_101_c1_5	QWC20507.1|AA3_2	48.0	529	263	7	2	528	6	524	1.93e-161	475
5mSIPHEX1_33-scaffold_101_c1_51	AWP05996.1|GT25	38.8	578	328	7	44	603	75	644	6.86e-119	389
5mSIPHEX1_33-scaffold_101_c1_55	ARA92211.1|GH78	45.2	447	201	10	13	442	22	441	4.76e-112	368
5mSIPHEX1_33-scaffold_101_c1_70	QSR23126.1|GH43_1	99.7	389	1	0	1	389	1	389	2.84e-280	764
5mSIPHEX1_33-scaffold_135_c1_18	QSR22851.1|GH0	98.4	252	4	0	1	252	20	271	1.49e-171	504
5mSIPHEX1_33-scaffold_135_c1_21	QSR22868.1|PL6_1	99.3	735	5	0	1	735	1	735	0.0	1444
5mSIPHEX1_33-scaffold_135_c1_22	QSR22869.1|PL17_2	96.7	723	24	0	1	723	1	723	0.0	1393
5mSIPHEX1_33-scaffold_135_c1_54	QSR22901.1|GH9	99.5	640	3	0	1	640	1	640	0.0	1307
5mSIPHEX1_33-scaffold_135_c1_65	QCW79542.1|GH101	52.7	457	212	2	57	509	612	1068	2.89e-163	495
5mSIPHEX1_33-scaffold_146_c1_15	ATE86697.1|GH36	55.7	490	213	2	2	491	724	1209	3.83e-178	537
5mSIPHEX1_33-scaffold_146_c1_53	AGL63871.2|GT2	42.1	501	244	7	320	816	528	986	6.09e-113	372
5mSIPHEX1_33-scaffold_146_c1_70	AMJ20771.1|GH13_26	44.3	874	452	13	1	854	1	859	1.68e-252	731
5mSIPHEX1_33-scaffold_146_c1_90	QSR24002.1|GH102	99.8	407	1	0	1	407	1	407	1.50e-291	794
5mSIPHEX1_33-scaffold_17_c1_141	CAE6201330.1|GH1	53.0	642	290	5	13	642	569	1210	2.13e-243	712
5mSIPHEX1_33-scaffold_17_c1_164	QSR21934.1|GT30	99.8	420	1	0	1	420	1	420	4.21e-300	816
5mSIPHEX1_33-scaffold_17_c1_232	QKX55086.1|GH55	35.7	607	337	13	5	574	795	1385	8.75e-110	363
5mSIPHEX1_33-scaffold_17_c1_315	CAG7883609.1|GT1	55.5	879	374	5	21	895	173	1038	5.49e-318	907
5mSIPHEX1_33-scaffold_18_c1_218	CAE6204650.1|GH28	51.3	602	284	6	4	598	744	1343	7.24e-198	596
5mSIPHEX1_33-scaffold_18_c1_243	AXE66036.1|GT83	65.3	685	156	4	1	683	1	605	0.0	889
5mSIPHEX1_33-scaffold_18_c1_244	QSR20946.1|GT2	99.6	243	1	0	1	243	1	243	9.49e-176	487
5mSIPHEX1_33-scaffold_18_c1_3	QSR21211.1|GT28	100	365	0	0	1	365	1	365	1.02e-254	697
5mSIPHEX1_33-scaffold_18_c1_329	AGL64345.2|GT2	48.5	588	289	5	268	846	273	855	8.95e-170	518
5mSIPHEX1_33-scaffold_18_c1_349	QSR20842.1|GH16	99.6	267	1	0	12	278	1	267	2.94e-212	582
5mSIPHEX1_33-scaffold_200_c1_36	QSR22978.1|CE20	99.4	647	4	0	1	647	1	647	0.0	1303
5mSIPHEX1_33-scaffold_200_c1_45	QSR22970.1|GT2	98.7	227	3	0	1	227	1	227	4.31e-155	434
