Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
5mSIPHEX1_18-scaffold_1197_c1_6	-	AA3_2(2-528)	AA3_e57	AA3_2	N	3
5mSIPHEX1_18-scaffold_1221_c1_4	-	GH73(188-323)	GH73_e204	GH73	N	3
5mSIPHEX1_18-scaffold_1780_c1_2	-	GH23(482-608)	GH23_e206	GH23	Y(1-21)	3
5mSIPHEX1_18-scaffold_1797_c1_5	-	GH23(302-451)	GH23_e316	GH23	N	3
5mSIPHEX1_18-scaffold_1844_c1_1	2.4.99.-:11	GT9(76-309)	GT9_e71	GT9	N	3
5mSIPHEX1_18-scaffold_1844_c1_3	-	GT2(4-128)	GT2	GT2	N	3
5mSIPHEX1_18-scaffold_1844_c1_4	-	GT83(15-463)	GT83_e35	GT83	N	3
5mSIPHEX1_18-scaffold_187_c1_10	-	GH23(219-368)	GH23_e625	GH23	N	3
5mSIPHEX1_18-scaffold_193_c4_1	-	AA3_2(2-346)	AA3_e57	-	N	2
5mSIPHEX1_18-scaffold_241_c3_9	-	CE4(69-200)	CE4_e250	-	Y(1-18)	2
5mSIPHEX1_18-scaffold_270_c1_18	-	GT4(199-339)	GT4_e1690	GT4	N	3
5mSIPHEX1_18-scaffold_270_c1_22	-	GH103(35-319)	GH103_e29	GH103	Y(1-22)	3
5mSIPHEX1_18-scaffold_270_c1_3	-	GT4(199-345)	GT4_e1295	GT4	N	3
5mSIPHEX1_18-scaffold_2981_c1_3	-	GH73(122-252)	GH73_e151	-	Y(1-23)	2
5mSIPHEX1_18-scaffold_299_c2_30	-|-|-	GH23(118-259)	GH23_e756+CBM50_e496+CBM50_e338	CBM50+GH23	Y(1-19)	3
5mSIPHEX1_18-scaffold_31_c1_100	-	GT2(13-164)	GT2	-	N	2
5mSIPHEX1_18-scaffold_31_c1_155	-	AA6(6-194)	AA6_e2	-	N	2
5mSIPHEX1_18-scaffold_31_c1_253	2.4.1.182:13	GT19(3-360)	GT19_e17	GT19	N	3
5mSIPHEX1_18-scaffold_31_c1_36	-	CBM67(70-212)	-	-	N	1
5mSIPHEX1_18-scaffold_31_c1_46	-	GT2(29-189)	GT2	GT2	Y(1-20)	3
5mSIPHEX1_18-scaffold_359_c1_24	-	CE1(24-273)	-	-	N	1
5mSIPHEX1_18-scaffold_385_c1_21	-	AA6(6-194)	AA6_e2	-	N	2
5mSIPHEX1_18-scaffold_395_c1_13	-	GT81(117-322)	GT81_e1	GT81	N	3
5mSIPHEX1_18-scaffold_395_c1_14	-	GH13_18(95-435)	GH13_e237	GH13_18	N	3
5mSIPHEX1_18-scaffold_419_c4_2	-	AA3(63-555)	-	-	Y(1-45)	1
