HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
AA3_2.hmm	568	5mSIPHEX1_18-scaffold_1197_c1_6	532	6.6e-173	3	566	2	528	0.9911971830985915
GH73.hmm	128	5mSIPHEX1_18-scaffold_1221_c1_4	343	2.5e-33	3	124	188	323	0.9453125
GH23.hmm	135	5mSIPHEX1_18-scaffold_1780_c1_2	648	6e-30	14	121	482	608	0.7925925925925926
GH23.hmm	135	5mSIPHEX1_18-scaffold_1797_c1_5	498	8e-25	15	125	302	451	0.8148148148148148
GT9.hmm	225	5mSIPHEX1_18-scaffold_1844_c1_1	341	1.5e-44	2	217	76	309	0.9555555555555556
GT2.hmm	170	5mSIPHEX1_18-scaffold_1844_c1_3	354	3.1e-26	16	146	4	128	0.7647058823529411
GT83.hmm	540	5mSIPHEX1_18-scaffold_1844_c1_4	536	5.3e-104	10	460	15	463	0.8333333333333334
GH23.hmm	135	5mSIPHEX1_18-scaffold_187_c1_10	374	7.1e-25	16	123	219	368	0.7925925925925926
AA3_2.hmm	568	5mSIPHEX1_18-scaffold_193_c4_1	384	1.8e-110	2	364	2	346	0.6373239436619719
CE4.hmm	130	5mSIPHEX1_18-scaffold_241_c3_9	342	4.6e-29	4	123	69	200	0.9153846153846154
GT4.hmm	160	5mSIPHEX1_18-scaffold_270_c1_18	388	1.1e-33	7	153	199	339	0.9125
GH103.hmm	295	5mSIPHEX1_18-scaffold_270_c1_22	321	1.9e-97	10	294	35	319	0.9627118644067797
GT4.hmm	160	5mSIPHEX1_18-scaffold_270_c1_3	410	6.1e-27	4	156	199	345	0.95
GH73.hmm	128	5mSIPHEX1_18-scaffold_2981_c1_3	268	1.1e-24	10	128	122	252	0.921875
GH23.hmm	135	5mSIPHEX1_18-scaffold_299_c2_30	531	1.3e-23	7	130	118	259	0.9111111111111111
GT2.hmm	170	5mSIPHEX1_18-scaffold_31_c1_100	280	3.4e-21	2	149	13	164	0.8647058823529412
AA6.hmm	195	5mSIPHEX1_18-scaffold_31_c1_155	201	5.2e-71	2	194	6	194	0.9846153846153847
GT19.hmm	354	5mSIPHEX1_18-scaffold_31_c1_253	380	2.2e-137	1	353	3	360	0.9943502824858758
CBM67.hmm	176	5mSIPHEX1_18-scaffold_31_c1_36	513	1.4e-17	1	166	70	212	0.9375
GT2.hmm	170	5mSIPHEX1_18-scaffold_31_c1_46	267	2.9e-28	1	168	29	189	0.9823529411764705
CE1.hmm	227	5mSIPHEX1_18-scaffold_359_c1_24	278	8e-52	4	224	24	273	0.9691629955947136
AA6.hmm	195	5mSIPHEX1_18-scaffold_385_c1_21	206	1.5e-70	2	194	6	194	0.9846153846153847
GT81.hmm	293	5mSIPHEX1_18-scaffold_395_c1_13	409	8.4e-70	89	275	117	322	0.6348122866894198
GH13_18.hmm	343	5mSIPHEX1_18-scaffold_395_c1_14	581	1.8e-145	2	343	95	435	0.9941690962099126
AA3.hmm	618	5mSIPHEX1_18-scaffold_419_c4_2	559	2.9e-41	88	399	63	555	0.5032362459546925
GT30.hmm	177	5mSIPHEX1_18-scaffold_457_c3_1	401	1.5e-69	1	176	11	189	0.9887005649717514
GT35.hmm	674	5mSIPHEX1_18-scaffold_469_c1_18	563	7.6e-102	211	557	172	497	0.5133531157270029
GH13_11.hmm	351	5mSIPHEX1_18-scaffold_469_c1_4	704	6.4e-161	1	351	191	547	0.9971509971509972
GT19.hmm	354	5mSIPHEX1_18-scaffold_471_c1_18	390	1.6e-136	1	353	13	370	0.9943502824858758
GT51.hmm	177	5mSIPHEX1_18-scaffold_496_c2_11	845	1.3e-60	9	176	241	412	0.943502824858757
GT51.hmm	177	5mSIPHEX1_18-scaffold_520_c1_12	861	2.7e-67	2	176	59	233	0.9830508474576272
AA4.hmm	522	5mSIPHEX1_18-scaffold_520_c1_13	468	1.5e-20	13	246	5	229	0.446360153256705
GH23.hmm	135	5mSIPHEX1_18-scaffold_528_c1_10	213	1.1e-18	9	120	104	203	0.8222222222222222
GH24.hmm	137	5mSIPHEX1_18-scaffold_682_c1_8	274	4.5e-32	1	136	113	260	0.9854014598540146
CE11.hmm	271	5mSIPHEX1_18-scaffold_742_c1_10	303	1.2e-116	1	270	4	275	0.992619926199262
GT28.hmm	157	5mSIPHEX1_18-scaffold_742_c1_4	357	3e-52	2	157	181	341	0.9872611464968153
GT20.hmm	475	5mSIPHEX1_18-scaffold_809_c1_1	760	1.6e-159	13	473	255	741	0.968421052631579
GH13_18.hmm	343	5mSIPHEX1_18-scaffold_809_c1_3	481	6.4e-109	2	343	36	370	0.9941690962099126
