Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX1_1-scaffold_102_c1_116	-	AA3(15-519)	-	-	N	1
700mSIPHEX1_1-scaffold_133_c1_1	3.2.1.22:5	GH36(4-342)	GH36_e1	GH36	N	3
700mSIPHEX1_1-scaffold_133_c2_10	-	GH13_26(27-293)	GH13_e100	GH13_26	N	3
700mSIPHEX1_1-scaffold_133_c2_11	3.2.1.141:34|3.2.1.1:4|-	GH13_10(111-414)	CBM48_e0+GH13_e120	CBM48+GH13_10	N	3
700mSIPHEX1_1-scaffold_133_c2_8	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	CBM48(20-109)+GH13_11(188-536)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
700mSIPHEX1_1-scaffold_154_c1_57	-	GT4(214-369)	GT4_e255	GT4	N	3
700mSIPHEX1_1-scaffold_154_c1_58	-	GT4(197-354)	GT4_e2885	GT4	N	3
700mSIPHEX1_1-scaffold_168_c1_10	2.4.1.276:2	GT1(19-395)	GT1_e11	GT1	N	3
700mSIPHEX1_1-scaffold_168_c1_66	-	GT25(11-183)	GT25_e193	GT25	N	3
700mSIPHEX1_1-scaffold_19_c1_11	-	CE4(37-176)	CE4_e204	-	N	2
700mSIPHEX1_1-scaffold_19_c1_174	-	AA3(3-556)	-	-	N	1
700mSIPHEX1_1-scaffold_19_c1_197	-	GT2(276-500)	GT2	GT2	N	3
700mSIPHEX1_1-scaffold_19_c1_214	-	GH25(66-242)	GH25_e187	GH25	Y(1-30)	3
700mSIPHEX1_1-scaffold_19_c1_216	-	GT8(18-248)	GT8_e114	GT8	N	3
700mSIPHEX1_1-scaffold_19_c1_264	-	GH109(2-144)	GH109_e2	-	N	2
700mSIPHEX1_1-scaffold_19_c1_316	-	AA7(51-229)	-	-	N	1
700mSIPHEX1_1-scaffold_265_c1_10	-	GT4(192-303)	GT4_e1269	GT4	N	3
700mSIPHEX1_1-scaffold_265_c1_14	-	CE1(85-278)	CE1_e19	-	N	2
700mSIPHEX1_1-scaffold_265_c1_21	-	GT4(245-380)	GT4_e2466	GT4	N	3
700mSIPHEX1_1-scaffold_265_c1_22	-	GT4(209-363)	GT4_e2624	GT4	N	3
700mSIPHEX1_1-scaffold_265_c1_26	-	GT2(21-133)	GT2	GT2	N	3
700mSIPHEX1_1-scaffold_265_c1_28	-	GT2(6-259)	GT2	GT2	N	3
700mSIPHEX1_1-scaffold_265_c1_31	-	AA3(4-521)	-	-	N	1
700mSIPHEX1_1-scaffold_265_c1_7	-	GT4(227-389)	GT4_e477	GT4	N	3
700mSIPHEX1_1-scaffold_297_c1_2	-	GT4(209-345)	GT4_e3850	GT4	N	3
700mSIPHEX1_1-scaffold_297_c1_3	-	GT26(57-228)	GT26_e90	GT26	N	3
700mSIPHEX1_1-scaffold_297_c1_5	-	GT4(239-383)	GT4_e3096	GT4	N	3
700mSIPHEX1_1-scaffold_325_c1_32	3.2.1.23:6	GH2(3-525)	GH2_e64	GH2	N	3
700mSIPHEX1_1-scaffold_329_c1_8	-	GH15(238-590)	GH15_e9	GH15	N	3
700mSIPHEX1_1-scaffold_32_c1_187	-	AA3_2(13-535)	AA3_e57	AA3_2	N	3
700mSIPHEX1_1-scaffold_32_c1_281	-	GT4(168-319)	GT4_e3345	GT4	N	3
700mSIPHEX1_1-scaffold_32_c1_71	-	GH108(9-97)	GH108_e5	GH108	N	3
700mSIPHEX1_1-scaffold_355_c1_9	-	GH109(5-163)	-	-	Y(1-21)	1
700mSIPHEX1_1-scaffold_40_c1_272	-	GT51(60-235)	GT51_e77	GT51	N	3
700mSIPHEX1_1-scaffold_40_c1_50	-	GT19(4-355)	GT19_e34	GT19	N	3
700mSIPHEX1_1-scaffold_47_c1_203	-	GT51(67-214)	GT51_e37	GT51	N	3
700mSIPHEX1_1-scaffold_47_c1_211	-	CE9(9-361)	CE9_e55	CE9	N	3
700mSIPHEX1_1-scaffold_47_c1_213	-	GT2(61-163)	GT92_e1	GT0	N	3
700mSIPHEX1_1-scaffold_47_c1_222	-	CE14(28-129)	CE14_e48	-	N	2
700mSIPHEX1_1-scaffold_47_c1_232	-	GT4(172-320)	GT4_e2158	GT4	N	3
700mSIPHEX1_1-scaffold_47_c1_234	-|-	GT4(205-354)+GH1(423-737)	GT4_e3047+GH1_e92	GH1+GT4	N	3
700mSIPHEX1_1-scaffold_520_c1_3	-	CE1(58-208)	CE1_e19	-	Y(1-26)	2
700mSIPHEX1_1-scaffold_534_c1_13	-	GH77(84-591)	GH77_e16	GH77	N	3
700mSIPHEX1_1-scaffold_534_c1_14	2.4.1.18:57|2.4.1.18:14	CBM48(119-205)+GH13_9(273-573)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
700mSIPHEX1_1-scaffold_534_c1_15	5.4.99.16:7	GH13_16(49-402)	GH13_e0	GH13_16	N	3
700mSIPHEX1_1-scaffold_534_c1_16	-	GH13_3(255-476)	GH13_e41	GH13_3	N	3
700mSIPHEX1_1-scaffold_5_c1_146	-	GH23(492-619)	GH23_e615	GH23	Y(1-24)	3
700mSIPHEX1_1-scaffold_5_c1_271	2.4.1.129:1	GT51(116-301)	GT51_e144	GT51	N	3
