Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
5mSIPHEX1_13-scaffold_102_c1_115	-	GT2(7-139)	GT2	GT2	N	3
5mSIPHEX1_13-scaffold_102_c1_118	-	GT4(237-358)	GT4_e1867	GT4	N	3
5mSIPHEX1_13-scaffold_102_c1_119	-	GT2(20-116)	GT2	GT0	N	3
5mSIPHEX1_13-scaffold_102_c1_120	-	GT14(7-248)	GT14_e83	GT14	N	3
5mSIPHEX1_13-scaffold_102_c1_16	-	GT4(213-381)	GT4_e966	GT4	N	3
5mSIPHEX1_13-scaffold_165_c1_1	-	AA3_2(3-524)	AA3_e57	AA3	N	3
5mSIPHEX1_13-scaffold_1_c1_1113	2.4.99.-:2|2.4.99.-:2	GT107(46-332)+GT107(331-666)	GT107_e0+GT107_e0	GT107	N	3
5mSIPHEX1_13-scaffold_1_c1_152	-	GT2(33-136)	GT92_e3	GT0	N	3
5mSIPHEX1_13-scaffold_1_c1_153	-	GT30(38-209)	GT30_e43	GT30	N	3
5mSIPHEX1_13-scaffold_1_c1_201	-	GT2(15-110)	-	-	N	1
5mSIPHEX1_13-scaffold_1_c1_267	-	GH3(59-276)	GH3_e228	GH3	N	3
5mSIPHEX1_13-scaffold_1_c1_343	-	GH108(10-98)	GH108_e5	-	N	2
5mSIPHEX1_13-scaffold_1_c1_530	-	GT19(7-359)	GT19_e34	GT19	N	3
5mSIPHEX1_13-scaffold_1_c1_548	-	GH23(96-193)	GH23_e673	-	Y(1-22)	2
5mSIPHEX1_13-scaffold_1_c1_655	-	GT2(38-136)	GT92_e3	GT0	N	3
5mSIPHEX1_13-scaffold_1_c1_657	-	GT2(456-555)	GT92_e3	GT0	N	3
5mSIPHEX1_13-scaffold_1_c1_659	-	GT2(10-110)	-	GT0	N	2
5mSIPHEX1_13-scaffold_1_c1_714	-	GH103(30-231)	GH103_e15	GH103	Y(1-21)	3
5mSIPHEX1_13-scaffold_1_c1_754	-	GT51(60-233)	GT51_e77	GT51	N	3
5mSIPHEX1_13-scaffold_1_c1_868	-	AA4(39-262)	-	-	N	1
5mSIPHEX1_13-scaffold_1_c1_871	-	CE11(2-273)	CE11_e5	CE11	N	3
5mSIPHEX1_13-scaffold_1_c1_881	-	GT28(188-350)	GT28_e3	GT28	N	3
5mSIPHEX1_13-scaffold_1_c1_922	-	AA3_2(3-529)	AA3_e57	AA3_2	N	3
5mSIPHEX1_13-scaffold_2_c1_121	-	GH23(59-163)	GH23_e721	GH23	Y(1-19)	3
5mSIPHEX1_13-scaffold_2_c1_211	-	GH103(26-319)	GH103_e38	GH103	Y(1-23)	3
5mSIPHEX1_13-scaffold_2_c1_3	-	GT4(237-380)	GT4_e3460	GT4	N	3
5mSIPHEX1_13-scaffold_2_c1_494	-	AA4(38-226)	-	-	N	1
5mSIPHEX1_13-scaffold_2_c1_503	-	GH23(151-261)	GH23_e757	-	Y(1-21)	2
5mSIPHEX1_13-scaffold_2_c1_550	-	GH103(28-318)	GH103_e30	GH103	Y(1-23)	3
5mSIPHEX1_13-scaffold_2_c1_95	-	GT2(244-470)	GT2	GT2	N	3
