Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_0-scaffold_12_c2_182	QKV20388.1|CBM50	57.6	516	215	3	11	522	14	529	6.92e-207	592
5mSIPHEX1_0-scaffold_12_c2_204	AMJ20543.1|GH13_11	59.6	396	157	1	33	428	17	409	3.28e-165	475
5mSIPHEX1_0-scaffold_12_c2_215	CAE6201330.1|GH1	36.2	639	378	13	3	620	582	1211	2.04e-114	375
5mSIPHEX1_0-scaffold_12_c2_251	AYQ74930.1|CBM50	52.1	635	295	8	30	658	31	662	4.80e-232	667
5mSIPHEX1_0-scaffold_12_c2_256	AZV31449.1|GH23	37.5	581	345	11	75	648	237	806	3.03e-114	375
5mSIPHEX1_0-scaffold_12_c2_257	AZV31449.1|GH23	58.7	383	134	2	1	382	817	1176	4.49e-139	430
5mSIPHEX1_0-scaffold_12_c2_322	AGL64345.2|GT2	48.7	591	292	4	247	828	267	855	1.31e-170	520
5mSIPHEX1_0-scaffold_12_c2_329	CDM22846.1|GT51	50.5	418	200	4	4	418	895	1308	2.18e-123	392
5mSIPHEX1_0-scaffold_12_c2_382	CCO12868.2|GH1	46.2	1383	500	10	19	1360	7	1186	0.0	1157
5mSIPHEX1_0-scaffold_12_c2_386	CAD7226128.1|GH38	35.1	744	402	15	11	707	1345	2054	7.45e-121	404
5mSIPHEX1_0-scaffold_1458_c1_3	UES59623.1|GT4	52.7	383	181	0	58	440	4	386	1.21e-139	410
5mSIPHEX1_0-scaffold_190_c1_15	ATI42661.1|GT28	95.8	379	16	0	1	379	1	379	2.77e-250	687
5mSIPHEX1_0-scaffold_190_c1_23	ATI42654.1|CE11	91.8	306	25	0	1	306	1	306	5.69e-204	564
5mSIPHEX1_0-scaffold_23_c1_127	ATI40717.1|GT2	84.7	295	45	0	4	298	5	299	3.72e-187	521
5mSIPHEX1_0-scaffold_23_c1_146	ATI40699.1|GH103	91.8	376	31	0	1	376	51	426	1.89e-254	699
5mSIPHEX1_0-scaffold_23_c1_156	QYU66445.1|GT4	68.8	311	95	2	14	322	39	349	1.64e-142	432
5mSIPHEX1_0-scaffold_23_c1_158	ATI40688.1|GT51	92.7	248	18	0	1	248	1	248	8.53e-161	450
5mSIPHEX1_0-scaffold_23_c1_187	ATI40661.1|GH102	92.1	303	24	0	1	303	1	303	7.81e-205	566
5mSIPHEX1_0-scaffold_23_c1_19	ATI40811.1|GT30	86.8	433	56	1	2	434	13	444	9.60e-249	688
