HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE14.hmm	124	5mSIPHEX1_0-scaffold_12_c2_117	244	4.5e-23	1	117	7	119	0.9354838709677419
AA1.hmm	358	5mSIPHEX1_0-scaffold_12_c2_68	562	7.2e-61	4	357	40	550	0.9860335195530726
GT4.hmm	160	5mSIPHEX1_0-scaffold_1458_c1_3	454	5.8e-28	8	156	256	409	0.925
GT28.hmm	157	5mSIPHEX1_0-scaffold_190_c1_15	380	1.7e-44	2	157	192	354	0.9872611464968153
CE11.hmm	271	5mSIPHEX1_0-scaffold_190_c1_23	307	2.1e-100	1	270	2	273	0.992619926199262
GH103.hmm	295	5mSIPHEX1_0-scaffold_23_c1_146	377	1.3e-118	1	294	8	301	0.9932203389830508
GT51.hmm	177	5mSIPHEX1_0-scaffold_23_c1_158	249	7.9e-48	9	170	72	228	0.9096045197740112
GH102.hmm	157	5mSIPHEX1_0-scaffold_23_c1_187	304	2.6e-41	50	156	100	206	0.6751592356687898
GT30.hmm	177	5mSIPHEX1_0-scaffold_23_c1_19	435	1.5e-19	10	173	35	191	0.9209039548022598
GT4.hmm	160	5mSIPHEX1_0-scaffold_23_c1_221	390	1.6e-28	6	148	197	340	0.8875
GH23.hmm	135	5mSIPHEX1_0-scaffold_23_c1_31	706	2.6e-24	8	119	532	668	0.8222222222222222
CBM48.hmm	76	5mSIPHEX1_0-scaffold_23_c1_82	698	1.7e-19	2	71	22	113	0.9078947368421053
GH13_11.hmm	351	5mSIPHEX1_0-scaffold_23_c1_82	698	1.5e-159	1	351	191	540	0.9971509971509972
CBM48.hmm	76	5mSIPHEX1_0-scaffold_23_c1_85	713	1.1e-17	2	70	29	119	0.8947368421052632
GH13_11.hmm	351	5mSIPHEX1_0-scaffold_23_c1_85	713	1.9e-153	1	351	200	548	0.9971509971509972
GT5.hmm	472	5mSIPHEX1_0-scaffold_23_c1_86	486	1.5e-150	2	471	8	477	0.9936440677966102
CBM48.hmm	76	5mSIPHEX1_0-scaffold_23_c1_88	732	1.8e-17	2	67	120	203	0.8552631578947368
GH13_9.hmm	301	5mSIPHEX1_0-scaffold_23_c1_88	732	3.2e-155	2	301	273	572	0.9933554817275747
GT35.hmm	674	5mSIPHEX1_0-scaffold_23_c1_89	802	3.4e-228	1	673	101	797	0.9970326409495549
GH13_23.hmm	344	5mSIPHEX1_0-scaffold_23_c1_90	535	8.4e-154	1	343	30	376	0.9941860465116279
GH13_10.hmm	313	5mSIPHEX1_0-scaffold_23_c1_92	597	4.3e-123	1	313	137	445	0.9968051118210862
GH13_26.hmm	296	5mSIPHEX1_0-scaffold_23_c1_93	776	4.7e-105	2	295	34	310	0.9898648648648649
GT4.hmm	160	5mSIPHEX1_0-scaffold_2931_c1_2	402	1e-31	6	158	207	360	0.95
GT4.hmm	160	5mSIPHEX1_0-scaffold_2955_c1_1	377	4.6e-23	5	153	198	343	0.925
CE14.hmm	124	5mSIPHEX1_0-scaffold_2955_c1_4	228	2e-21	1	124	11	120	0.9919354838709677
GT2.hmm	96	5mSIPHEX1_0-scaffold_3_c1_104	342	1.4e-29	1	95	53	149	0.9791666666666666
GT2.hmm	96	5mSIPHEX1_0-scaffold_3_c1_105	308	3e-26	1	95	20	116	0.9791666666666666
GT14.hmm	250	5mSIPHEX1_0-scaffold_3_c1_106	566	4.5e-48	3	240	5	247	0.948
AA7.hmm	458	5mSIPHEX1_0-scaffold_3_c1_147	484	8.3e-18	15	187	51	230	0.37554585152838427
GT14.hmm	250	5mSIPHEX1_0-scaffold_3_c1_154	526	6.6e-58	1	235	4	246	0.936
GT20.hmm	475	5mSIPHEX1_0-scaffold_3_c1_215	494	3.1e-149	13	469	3	483	0.96
GH13_18.hmm	343	5mSIPHEX1_0-scaffold_3_c1_222	603	4.8e-141	2	343	99	439	0.9941690962099126
GT30.hmm	177	5mSIPHEX1_0-scaffold_3_c1_448	450	1.6e-46	3	175	33	210	0.9717514124293786
GT107.hmm	532	5mSIPHEX1_0-scaffold_3_c1_489	700	1e-91	215	499	53	336	0.5338345864661654
GT107.hmm	532	5mSIPHEX1_0-scaffold_3_c1_489	700	1e-135	145	529	313	698	0.7218045112781954
CE1.hmm	227	5mSIPHEX1_0-scaffold_3_c1_53	277	2.4e-50	1	225	21	272	0.986784140969163
AA4.hmm	522	5mSIPHEX1_0-scaffold_3_c1_531	471	3.7e-19	21	245	9	222	0.42911877394636017
GT83.hmm	540	5mSIPHEX1_0-scaffold_3_c1_557	541	5.4e-35	10	366	14	400	0.6592592592592592
GT2.hmm	170	5mSIPHEX1_0-scaffold_3_c1_559	244	6e-27	1	166	5	167	0.9705882352941176
GT51.hmm	177	5mSIPHEX1_0-scaffold_3_c1_78	750	2.7e-55	9	176	123	311	0.943502824858757
GH103.hmm	295	5mSIPHEX1_0-scaffold_3_c1_83	403	2.6e-91	1	294	39	330	0.9932203389830508
GT81.hmm	293	5mSIPHEX1_0-scaffold_41_c1_120	413	2e-66	89	275	115	322	0.6348122866894198
GT2.hmm	197	5mSIPHEX1_0-scaffold_41_c1_182	633	1.5e-19	2	190	208	399	0.9543147208121827
AA4.hmm	522	5mSIPHEX1_0-scaffold_41_c1_188	534	2.6e-19	51	247	109	296	0.37547892720306514
GH109.hmm	399	5mSIPHEX1_0-scaffold_41_c1_82	324	2.8e-18	4	166	3	157	0.40601503759398494
GT4.hmm	160	5mSIPHEX1_0-scaffold_4_c1_100	387	4.2e-34	13	159	203	354	0.9125
GT2.hmm	96	5mSIPHEX1_0-scaffold_4_c1_251	800	7.5e-20	1	95	12	111	0.9791666666666666
GT2.hmm	96	5mSIPHEX1_0-scaffold_4_c1_251	800	4.5e-20	1	96	484	584	0.9895833333333334
AA1.hmm	358	5mSIPHEX1_0-scaffold_4_c1_265	465	1e-52	10	357	52	457	0.9692737430167597
GT2.hmm	230	5mSIPHEX1_0-scaffold_4_c1_326	754	5.4e-36	1	228	297	523	0.9869565217391304
GH23.hmm	135	5mSIPHEX1_0-scaffold_4_c1_392	322	5.1e-29	11	121	183	292	0.8148148148148148
GH3.hmm	216	5mSIPHEX1_0-scaffold_4_c1_555	336	7.5e-41	5	215	53	278	0.9722222222222222
GH103.hmm	295	5mSIPHEX1_0-scaffold_4_c1_633	393	4.4e-85	1	211	59	270	0.711864406779661
GT51.hmm	177	5mSIPHEX1_0-scaffold_62_c1_121	857	5.3e-64	2	176	60	233	0.9830508474576272
GH23.hmm	135	5mSIPHEX1_0-scaffold_62_c1_97	208	2.1e-31	6	115	95	202	0.8074074074074075
GH13_23.hmm	344	5mSIPHEX1_0-scaffold_9_c1_12	563	7.3e-127	1	342	49	401	0.9912790697674418
GH13_31.hmm	349	5mSIPHEX1_0-scaffold_9_c1_13	566	1.4e-135	1	348	45	379	0.994269340974212
GT19.hmm	354	5mSIPHEX1_0-scaffold_9_c1_159	386	4e-112	2	345	8	361	0.9689265536723164
AA7.hmm	458	5mSIPHEX1_0-scaffold_9_c1_220	476	5.7e-17	3	261	32	296	0.5633187772925764
GT2.hmm	197	5mSIPHEX1_0-scaffold_9_c1_227	486	2.7e-26	2	183	151	326	0.9187817258883249
GT2.hmm	170	5mSIPHEX1_0-scaffold_9_c1_228	323	2e-25	1	107	11	115	0.6235294117647059
CE14.hmm	124	5mSIPHEX1_0-scaffold_9_c1_231	273	6.2e-19	1	123	54	170	0.9838709677419355
GH1.hmm	429	5mSIPHEX1_0-scaffold_9_c1_242	439	5.3e-147	3	423	6	435	0.9790209790209791
GH13_23.hmm	344	5mSIPHEX1_0-scaffold_9_c1_246	554	4.1e-150	1	343	44	390	0.9941860465116279
GT8.hmm	257	5mSIPHEX1_0-scaffold_9_c1_261	337	9.4e-38	29	255	26	289	0.8793774319066148
GH108.hmm	86	5mSIPHEX1_0-scaffold_9_c1_401	204	9.8e-27	3	86	9	97	0.9651162790697675
GT2.hmm	170	5mSIPHEX1_0-scaffold_9_c1_70	312	7e-21	1	120	5	123	0.7
