Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_11-scaffold_103_c1_22	BAP14492.1|GH23	68.1	636	203	0	17	652	10	645	0.0	897
5mSIPHEX1_11-scaffold_103_c1_37	CCO12102.2|GH13_31	54.4	329	143	3	10	331	5	333	1.37e-111	333
5mSIPHEX1_11-scaffold_103_c1_89	CAL16973.1|GH23	76.3	693	164	0	1	693	3	695	0.0	1065
5mSIPHEX1_11-scaffold_113_c1_25	BAP13934.1|GH3	83.2	333	56	0	3	335	12	344	3.24e-193	540
5mSIPHEX1_11-scaffold_113_c1_62	AWP05996.1|GT25	37.2	562	337	8	55	606	90	645	3.48e-106	354
5mSIPHEX1_11-scaffold_113_c1_79	CAL16398.1|GH23	88.1	193	23	0	1	193	1	193	2.18e-129	366
5mSIPHEX1_11-scaffold_113_c1_87	AWW69811.1|GT2	40.8	419	241	4	12	426	112	527	6.59e-104	323
5mSIPHEX1_11-scaffold_113_c1_90	VEJ19452.1|GT4	63.9	332	117	2	4	334	372	701	2.31e-142	424
5mSIPHEX1_11-scaffold_132_c1_43	QYU66396.1|GH13_23	55.6	457	194	6	5	457	6	457	1.22e-145	439
5mSIPHEX1_11-scaffold_148_c1_17	QCE13289.1|CE8	52.1	424	178	4	3	402	406	828	1.48e-130	412
5mSIPHEX1_11-scaffold_148_c1_29	BAP13811.1|GT51	78.4	761	159	2	4	759	18	778	0.0	1204
5mSIPHEX1_11-scaffold_148_c1_45	CAE6204650.1|GH28	51.2	601	283	7	5	597	745	1343	3.16e-191	579
5mSIPHEX1_11-scaffold_164_c2_38	ACM64804.2|GT51	27.0	1669	1080	40	244	1873	190	1759	2.33e-161	545
5mSIPHEX1_11-scaffold_164_c2_41	CAL16343.1|GT4	82.3	503	89	0	1	503	1	503	5.31e-313	857
5mSIPHEX1_11-scaffold_164_c2_47	CAL16337.1|GH166	67.9	912	288	3	15	923	47	956	0.0	1290
5mSIPHEX1_11-scaffold_164_c2_50	QWC20507.1|AA3_2	49.0	527	262	4	2	528	5	524	5.74e-176	511
5mSIPHEX1_11-scaffold_168_c1_15	ALR08738.2|GT83	54.9	594	250	7	1	584	1	586	2.24e-217	621
