HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23.hmm	135	5mSIPHEX1_11-scaffold_103_c1_22	653	5.4e-31	7	121	484	620	0.8444444444444444
AA6.hmm	195	5mSIPHEX1_11-scaffold_103_c1_71	198	2e-69	2	194	5	193	0.9846153846153847
GH23.hmm	135	5mSIPHEX1_11-scaffold_103_c1_89	695	5.4e-23	13	125	534	686	0.8296296296296296
GH3.hmm	216	5mSIPHEX1_11-scaffold_113_c1_25	338	1.2e-49	10	215	59	281	0.9490740740740741
GT4.hmm	160	5mSIPHEX1_11-scaffold_113_c1_86	355	6.4e-20	7	151	184	316	0.9
GT2.hmm	170	5mSIPHEX1_11-scaffold_113_c1_88	268	1.6e-33	1	163	9	172	0.9529411764705882
GT2.hmm	170	5mSIPHEX1_11-scaffold_113_c1_92	298	5.3e-31	1	132	9	135	0.7705882352941177
AA3.hmm	618	5mSIPHEX1_11-scaffold_1205_c1_6	486	2e-42	87	401	28	483	0.5080906148867314
AA3.hmm	618	5mSIPHEX1_11-scaffold_130_c1_14	539	1.3e-52	86	400	36	535	0.5080906148867314
AA4.hmm	522	5mSIPHEX1_11-scaffold_130_c1_34	465	7.3e-24	13	200	4	188	0.35823754789272033
GT51.hmm	177	5mSIPHEX1_11-scaffold_148_c1_29	760	1.4e-50	9	176	40	207	0.943502824858757
GT4.hmm	160	5mSIPHEX1_11-scaffold_164_c2_41	507	3.5e-25	11	156	317	471	0.90625
GH166.hmm	224	5mSIPHEX1_11-scaffold_164_c2_47	924	2.1e-78	4	224	47	265	0.9821428571428571
AA3_2.hmm	568	5mSIPHEX1_11-scaffold_164_c2_50	532	8.6e-174	2	566	2	529	0.9929577464788732
GH23.hmm	135	5mSIPHEX1_11-scaffold_168_c1_52	468	3.9e-24	13	125	300	451	0.8296296296296296
AA3.hmm	618	5mSIPHEX1_11-scaffold_216_c1_3	683	3e-51	65	409	160	674	0.5566343042071198
GT30.hmm	177	5mSIPHEX1_11-scaffold_29_c1_121	420	1.2e-68	1	176	32	211	0.9887005649717514
GT51.hmm	177	5mSIPHEX1_11-scaffold_29_c1_181	245	3.7e-60	8	176	48	217	0.9491525423728814
GT51.hmm	177	5mSIPHEX1_11-scaffold_29_c1_238	816	8e-57	9	174	207	376	0.9322033898305084
GH103.hmm	295	5mSIPHEX1_11-scaffold_29_c1_63	397	1e-111	1	295	26	320	0.9966101694915255
GT4.hmm	160	5mSIPHEX1_11-scaffold_307_c1_21	393	5.6e-22	12	123	197	301	0.69375
GT28.hmm	157	5mSIPHEX1_11-scaffold_33_c1_116	358	1.1e-48	2	156	184	341	0.9808917197452229
CE11.hmm	271	5mSIPHEX1_11-scaffold_33_c1_122	306	9.6e-117	1	270	4	275	0.992619926199262
GH31.hmm	427	5mSIPHEX1_11-scaffold_33_c1_223	706	3.8e-79	5	421	252	691	0.9742388758782201
GH114.hmm	190	5mSIPHEX1_11-scaffold_33_c1_228	264	2.5e-80	1	190	35	224	0.9947368421052631
AA3.hmm	618	5mSIPHEX1_11-scaffold_43_c1_126	520	1.7e-44	91	395	2	516	0.4919093851132686
GT19.hmm	354	5mSIPHEX1_11-scaffold_43_c1_52	385	9.6e-138	2	353	11	366	0.9915254237288136
AA3.hmm	618	5mSIPHEX1_11-scaffold_43_c1_70	513	3.6e-66	79	397	17	511	0.5145631067961165
AA3.hmm	618	5mSIPHEX1_11-scaffold_43_c1_72	533	3.7e-52	89	401	32	526	0.5048543689320388
GH23.hmm	135	5mSIPHEX1_11-scaffold_45_c1_124	535	3.5e-26	2	130	109	255	0.9481481481481482
GH23.hmm	135	5mSIPHEX1_11-scaffold_45_c1_47	217	2.9e-30	13	126	86	197	0.837037037037037
GT2.hmm	170	5mSIPHEX1_11-scaffold_711_c2_2	230	2.8e-21	1	95	7	93	0.5529411764705883
AA3_2.hmm	568	5mSIPHEX1_11-scaffold_7_c1_4	552	3.2e-173	2	568	11	545	0.9964788732394366
AA3_2.hmm	568	5mSIPHEX1_11-scaffold_7_c2_121	534	4.3e-173	2	566	4	527	0.9929577464788732
CE1.hmm	227	5mSIPHEX1_11-scaffold_7_c2_143	729	5.5e-16	4	136	340	460	0.5814977973568282
AA1.hmm	358	5mSIPHEX1_11-scaffold_7_c2_207	622	1.6e-65	7	357	65	596	0.9776536312849162
GT9.hmm	225	5mSIPHEX1_11-scaffold_7_c2_261	353	2e-56	1	222	78	330	0.9822222222222222
GT9.hmm	225	5mSIPHEX1_11-scaffold_7_c2_262	342	2.8e-38	3	219	77	312	0.96
GT4.hmm	160	5mSIPHEX1_11-scaffold_7_c2_263	375	2.2e-24	9	151	200	339	0.8875
GT4.hmm	160	5mSIPHEX1_11-scaffold_7_c2_270	374	1.1e-30	9	148	211	346	0.86875
GT51.hmm	177	5mSIPHEX1_11-scaffold_7_c2_330	860	2.3e-67	3	177	59	233	0.9830508474576272
GT9.hmm	225	5mSIPHEX1_11-scaffold_7_c2_358	361	1.5e-50	3	217	85	321	0.9511111111111111
GH103.hmm	295	5mSIPHEX1_11-scaffold_907_c1_8	349	2.8e-99	6	294	39	340	0.976271186440678
AA2.hmm	255	5mSIPHEX1_11-scaffold_94_c2_109	749	1.5e-16	5	114	87	198	0.42745098039215684
AA2.hmm	255	5mSIPHEX1_11-scaffold_94_c2_111	723	5e-16	17	253	448	716	0.9254901960784314
CE1.hmm	227	5mSIPHEX1_11-scaffold_94_c2_46	282	4e-50	1	223	24	275	0.9779735682819384
