HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT107.hmm	532	5mSIPHEX2_7-scaffold_104_c1_15	366	8.7e-43	216	497	84	363	0.5281954887218046
GT51.hmm	177	5mSIPHEX2_7-scaffold_104_c1_28	186	3.1e-48	7	172	7	167	0.9322033898305084
GH102.hmm	157	5mSIPHEX2_7-scaffold_104_c1_52	346	2.9e-43	4	157	107	237	0.9745222929936306
AA1.hmm	358	5mSIPHEX2_7-scaffold_104_c1_7	440	1.6e-53	10	358	46	433	0.9720670391061452
GH108.hmm	86	5mSIPHEX2_7-scaffold_115_c1_50	205	7.2e-23	3	86	10	98	0.9651162790697675
GH23.hmm	135	5mSIPHEX2_7-scaffold_131_c1_15	288	1.6e-27	12	123	151	261	0.8222222222222222
AA4.hmm	522	5mSIPHEX2_7-scaffold_131_c1_24	472	1.1e-17	51	245	38	226	0.3716475095785441
GT2.hmm	230	5mSIPHEX2_7-scaffold_133_c1_26	638	1.8e-30	1	228	244	470	0.9869565217391304
GT4.hmm	160	5mSIPHEX2_7-scaffold_136_c1_4	411	8.3e-18	7	159	213	381	0.95
GH103.hmm	295	5mSIPHEX2_7-scaffold_139_c1_32	265	1.4e-61	1	205	30	231	0.6915254237288135
GT4.hmm	160	5mSIPHEX2_7-scaffold_156_c1_52	431	1.4e-23	7	152	237	380	0.90625
GT2.hmm	96	5mSIPHEX2_7-scaffold_16_c1_116	311	7.3e-18	6	93	15	110	0.90625
GT30.hmm	177	5mSIPHEX2_7-scaffold_16_c1_164	409	2e-48	2	176	38	209	0.9830508474576272
GT2.hmm	96	5mSIPHEX2_7-scaffold_16_c1_165	298	2.1e-20	1	94	33	136	0.96875
GH3.hmm	216	5mSIPHEX2_7-scaffold_16_c1_51	337	3.9e-41	10	215	59	276	0.9490740740740741
GT2.hmm	170	5mSIPHEX2_7-scaffold_190_c1_37	406	6.3e-16	1	133	7	139	0.7764705882352941
GT4.hmm	160	5mSIPHEX2_7-scaffold_190_c1_40	412	5.4e-23	8	124	237	358	0.725
GT2.hmm	96	5mSIPHEX2_7-scaffold_190_c1_41	308	9.1e-29	1	95	20	116	0.9791666666666666
GT14.hmm	250	5mSIPHEX2_7-scaffold_190_c1_42	568	3.4e-48	4	240	7	248	0.944
CE1.hmm	227	5mSIPHEX2_7-scaffold_200_c1_4	277	2.9e-47	1	226	21	273	0.9911894273127754
GT51.hmm	177	5mSIPHEX2_7-scaffold_22_c1_101	590	1.8e-37	44	176	2	134	0.7457627118644068
AA2.hmm	255	5mSIPHEX2_7-scaffold_22_c1_139	721	3.3e-18	14	117	79	183	0.403921568627451
AA2.hmm	255	5mSIPHEX2_7-scaffold_22_c1_139	721	8.3e-18	14	251	451	713	0.9294117647058824
GH25.hmm	177	5mSIPHEX2_7-scaffold_22_c1_153	247	4.8e-51	1	177	43	221	0.9943502824858758
GH103.hmm	295	5mSIPHEX2_7-scaffold_22_c1_205	449	3.5e-112	1	294	77	371	0.9932203389830508
GH103.hmm	295	5mSIPHEX2_7-scaffold_22_c2_43	392	3.7e-90	1	293	28	318	0.9898305084745763
GT2.hmm	96	5mSIPHEX2_7-scaffold_235_c1_27	372	1.8e-20	1	95	38	136	0.9791666666666666
GT2.hmm	96	5mSIPHEX2_7-scaffold_235_c1_29	786	7.8e-24	1	95	456	555	0.9791666666666666
GT2.hmm	96	5mSIPHEX2_7-scaffold_235_c1_31	348	2.6e-23	1	95	10	110	0.9791666666666666
GT19.hmm	354	5mSIPHEX2_7-scaffold_29_c1_139	381	3.3e-110	1	344	7	359	0.9689265536723164
GH23.hmm	135	5mSIPHEX2_7-scaffold_29_c1_157	198	2.7e-30	16	116	96	193	0.7407407407407407
AA4.hmm	522	5mSIPHEX2_7-scaffold_31_c1_134	470	6.2e-27	18	263	2	233	0.46934865900383144
GT51.hmm	177	5mSIPHEX2_7-scaffold_31_c1_232	739	2e-51	13	176	117	301	0.9209039548022598
AA3_2.hmm	568	5mSIPHEX2_7-scaffold_439_c1_27	527	8.5e-146	3	566	3	524	0.9911971830985915
GT14.hmm	250	5mSIPHEX2_7-scaffold_70_c1_23	526	2e-56	1	235	4	246	0.936
GH23.hmm	135	5mSIPHEX2_7-scaffold_70_c1_96	651	1.8e-24	15	119	490	619	0.7703703703703704
GH103.hmm	295	5mSIPHEX2_7-scaffold_76_c1_38	395	1.5e-106	1	294	26	319	0.9932203389830508
AA4.hmm	522	5mSIPHEX2_7-scaffold_7_c1_104	459	2.3e-23	53	282	39	262	0.4386973180076628
CE11.hmm	271	5mSIPHEX2_7-scaffold_7_c1_107	307	1e-100	1	270	2	273	0.992619926199262
GT28.hmm	157	5mSIPHEX2_7-scaffold_7_c1_117	367	1.3e-43	2	157	188	350	0.9872611464968153
AA3_2.hmm	568	5mSIPHEX2_7-scaffold_7_c1_158	553	6.3e-161	3	566	3	529	0.9911971830985915
GT107.hmm	532	5mSIPHEX2_7-scaffold_7_c1_349	672	1.6e-91	213	498	46	332	0.5357142857142857
GT107.hmm	532	5mSIPHEX2_7-scaffold_7_c1_349	672	7.4e-121	166	524	331	666	0.6729323308270677
GT51.hmm	177	5mSIPHEX2_7-scaffold_801_c1_5	839	3.5e-63	2	176	60	233	0.9830508474576272
