HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
AA3_2.hmm	568	5mSIPHEX1_15-scaffold_105_c1_33	543	6.4e-183	2	568	3	537	0.9964788732394366
AA3_2.hmm	568	5mSIPHEX1_15-scaffold_105_c1_6	571	9.8e-167	2	566	29	556	0.9929577464788732
GH24.hmm	137	5mSIPHEX1_15-scaffold_106_c1_110	402	2.5e-32	2	137	8	144	0.9854014598540146
GT51.hmm	177	5mSIPHEX1_15-scaffold_106_c1_25	680	3.2e-47	16	176	61	220	0.903954802259887
GT2.hmm	170	5mSIPHEX1_15-scaffold_143_c1_44	325	2e-19	2	166	23	175	0.9647058823529412
CE15.hmm	269	5mSIPHEX1_15-scaffold_143_c1_77	424	1.4e-50	25	268	54	410	0.9033457249070632
GT4.hmm	160	5mSIPHEX1_15-scaffold_161_c1_45	583	5.2e-19	21	150	397	524	0.80625
AA7.hmm	458	5mSIPHEX1_15-scaffold_170_c1_46	477	4.5e-16	6	207	40	248	0.4388646288209607
GH3.hmm	216	5mSIPHEX1_15-scaffold_172_c2_8	792	2.9e-73	3	216	134	363	0.9861111111111112
GT51.hmm	177	5mSIPHEX1_15-scaffold_179_c1_41	659	8.5e-65	12	176	98	262	0.9265536723163842
GH16_3.hmm	230	5mSIPHEX1_15-scaffold_179_c1_69	314	3e-78	1	230	67	305	0.9956521739130435
GH102.hmm	157	5mSIPHEX1_15-scaffold_208_c1_37	408	1.4e-35	2	156	143	283	0.9808917197452229
GH63.hmm	570	5mSIPHEX1_15-scaffold_208_c1_63	430	6.8e-29	352	561	62	417	0.36666666666666664
GT2.hmm	170	5mSIPHEX1_15-scaffold_20_c1_248	244	4.1e-24	1	166	8	170	0.9705882352941176
CE1.hmm	227	5mSIPHEX1_15-scaffold_20_c1_267	354	1.4e-22	1	175	45	231	0.7665198237885462
GT26.hmm	171	5mSIPHEX1_15-scaffold_20_c1_336	243	3.2e-46	2	171	57	222	0.9883040935672515
GH109.hmm	399	5mSIPHEX1_15-scaffold_20_c1_40	327	4.4e-18	8	164	6	154	0.39097744360902253
GT2.hmm	170	5mSIPHEX1_15-scaffold_20_c1_94	250	2.8e-20	1	169	7	173	0.9882352941176471
AA3_2.hmm	568	5mSIPHEX1_15-scaffold_225_c1_7	538	1e-158	2	565	11	535	0.9911971830985915
GT4.hmm	160	5mSIPHEX1_15-scaffold_246_c1_23	387	7.9e-20	6	147	215	354	0.88125
GH109.hmm	399	5mSIPHEX1_15-scaffold_246_c1_25	342	1.3e-16	5	165	3	147	0.40100250626566414
GT2.hmm	170	5mSIPHEX1_15-scaffold_246_c1_27	339	9.8e-26	1	165	8	175	0.9647058823529412
CBM85.hmm	132	5mSIPHEX1_15-scaffold_380_c1_7	204	4.6e-30	2	128	67	193	0.9545454545454546
GH3.hmm	216	5mSIPHEX1_15-scaffold_380_c1_9	842	5.8e-63	6	215	142	364	0.9675925925925926
AA1.hmm	358	5mSIPHEX1_15-scaffold_477_c1_1	490	2.3e-59	11	250	64	325	0.6675977653631285
AA1.hmm	358	5mSIPHEX1_15-scaffold_477_c1_14	501	1.3e-36	8	357	71	492	0.9748603351955307
GH10.hmm	303	5mSIPHEX1_15-scaffold_50_c1_137	381	1.9e-83	6	302	44	367	0.976897689768977
CE1.hmm	227	5mSIPHEX1_15-scaffold_50_c1_163	281	9.1e-47	1	224	23	272	0.9823788546255506
GH23.hmm	135	5mSIPHEX1_15-scaffold_50_c1_46	678	1.2e-26	17	123	523	654	0.7851851851851852
GT19.hmm	354	5mSIPHEX1_15-scaffold_50_c1_86	387	8.7e-90	1	348	6	360	0.980225988700565
GT51.hmm	177	5mSIPHEX1_15-scaffold_50_c2_6	860	1e-63	1	177	65	245	0.9943502824858758
GT51.hmm	177	5mSIPHEX1_15-scaffold_564_c1_3	239	4.1e-51	10	176	57	222	0.9378531073446328
GT4.hmm	160	5mSIPHEX1_15-scaffold_58_c1_121	385	1.9e-21	9	139	188	304	0.8125
GT2.hmm	170	5mSIPHEX1_15-scaffold_58_c1_157	325	2.9e-16	1	108	34	142	0.6294117647058823
CE4.hmm	130	5mSIPHEX1_15-scaffold_58_c1_158	262	1.2e-18	5	109	35	149	0.8
GT2.hmm	170	5mSIPHEX1_15-scaffold_58_c1_159	334	4.5e-24	1	161	7	166	0.9411764705882353
GT28.hmm	157	5mSIPHEX1_15-scaffold_58_c1_17	364	5.8e-41	1	154	185	346	0.9745222929936306
GT4.hmm	160	5mSIPHEX1_15-scaffold_58_c1_203	397	6.1e-28	6	159	208	366	0.95625
CE11.hmm	271	5mSIPHEX1_15-scaffold_58_c1_7	305	1.4e-103	1	270	7	279	0.992619926199262
GT83.hmm	540	5mSIPHEX1_15-scaffold_58_c1_76	540	2.2e-50	15	367	21	368	0.6518518518518519
GT4.hmm	160	5mSIPHEX1_15-scaffold_64_c1_25	378	2.8e-31	3	159	180	346	0.975
GT83.hmm	540	5mSIPHEX1_15-scaffold_64_c2_105	683	5.7e-66	6	339	10	367	0.6166666666666667
GT2.hmm	230	5mSIPHEX1_15-scaffold_64_c2_31	454	1.1e-24	1	228	82	308	0.9869565217391304
GH103.hmm	295	5mSIPHEX1_15-scaffold_64_c2_80	445	3e-95	3	293	65	363	0.9830508474576272
GH3.hmm	216	5mSIPHEX1_15-scaffold_71_c1_139	348	3.2e-39	5	215	53	280	0.9722222222222222
GH42.hmm	371	5mSIPHEX1_15-scaffold_71_c1_170	649	5.4e-153	1	370	6	390	0.9946091644204852
GT2.hmm	170	5mSIPHEX1_15-scaffold_737_c1_4	808	1.8e-17	1	113	177	291	0.6588235294117647
GT2.hmm	170	5mSIPHEX1_15-scaffold_78_c1_41	229	6.5e-24	1	134	6	134	0.7823529411764706
GT30.hmm	177	5mSIPHEX1_15-scaffold_85_c2_20	425	2e-44	2	173	36	216	0.9661016949152542
GH5_25.hmm	262	5mSIPHEX1_15-scaffold_91_c1_105	336	2.5e-89	1	262	53	312	0.9961832061068703
CE1.hmm	227	5mSIPHEX1_15-scaffold_91_c1_18	649	2.8e-17	6	214	397	629	0.9162995594713657
AA2.hmm	255	5mSIPHEX1_15-scaffold_91_c1_24	723	8.2e-16	9	117	74	184	0.4235294117647059
CE2.hmm	209	5mSIPHEX1_15-scaffold_91_c1_59	400	3.4e-48	1	206	174	379	0.9808612440191388
AA3_2.hmm	568	5mSIPHEX1_15-scaffold_91_c1_79	564	2.3e-162	1	566	3	531	0.9947183098591549
GH36.hmm	688	5mSIPHEX1_15-scaffold_91_c1_97	714	4.3e-217	2	672	7	659	0.9738372093023255
