Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX1_15-scaffold_11_c1_195	-	AA1(69-591)	AA1_e13	-	N	2
700mSIPHEX1_15-scaffold_11_c1_213	2.4.1.1:9	GT35(172-495)	GT35_e7	GT35	N	3
700mSIPHEX1_15-scaffold_11_c1_227	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-547)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
700mSIPHEX1_15-scaffold_11_c1_406	-	GH73(122-252)	GH73_e151	-	Y(1-23)	2
700mSIPHEX1_15-scaffold_11_c1_414	-	GH23(482-608)	GH23_e206	GH23	Y(1-21)	3
700mSIPHEX1_15-scaffold_11_c1_521	-	GH23(302-451)	GH23_e316	GH23	N	3
700mSIPHEX1_15-scaffold_126_c1_54	-	GT2(20-113)	GT2	GT0	N	3
700mSIPHEX1_15-scaffold_126_c1_71	-	GT51(241-412)	GT51_e15	GT51	N	3
700mSIPHEX1_15-scaffold_131_c1_80	3.5.1.-:2	CE14(6-112)	CE14_e47	-	N	2
700mSIPHEX1_15-scaffold_161_c1_18	3.2.1.4:1	GH5_5(46-325)	GH5_e267	-	Y(1-36)	2
700mSIPHEX1_15-scaffold_161_c1_22	-|-	GT4(203-346)+GT26(442-608)	GT4_e1063+GT26_e94	GT26+GT4	N	3
700mSIPHEX1_15-scaffold_16_c1_221	-	GH25(63-233)	GH25_e206	-	N	2
700mSIPHEX1_15-scaffold_16_c1_373	-|-|-	GH23(118-259)	GH23_e756+CBM50_e496+CBM50_e338	CBM50+GH23	Y(1-19)	3
700mSIPHEX1_15-scaffold_16_c1_410	-	GH108(8-97)	GH108_e63	-	N	2
700mSIPHEX1_15-scaffold_16_c1_65	-	GT83(15-463)	GT83_e35	GT83	N	3
700mSIPHEX1_15-scaffold_16_c1_66	-	GT2(4-128)	GT2	GT2	N	3
700mSIPHEX1_15-scaffold_16_c1_68	2.4.99.-:11	GT9(76-309)	GT9_e71	GT9	N	3
700mSIPHEX1_15-scaffold_2_c1_148	-	CE1(24-273)	-	-	N	1
700mSIPHEX1_15-scaffold_2_c1_228	-	GT4(204-350)	GT4_e1295	GT4	N	3
700mSIPHEX1_15-scaffold_2_c1_243	-	GT4(199-339)	GT4_e1690	GT4	N	3
700mSIPHEX1_15-scaffold_2_c1_247	-	GH103(35-319)	GH103_e29	GH103	Y(1-22)	3
700mSIPHEX1_15-scaffold_2_c1_394	2.4.1.7:1	GH13_18(36-370)	GH13_e117	GH13_18	N	3
700mSIPHEX1_15-scaffold_2_c1_396	2.4.1.213:1	GT20(255-741)	GT20_e8	GT20	N	3
700mSIPHEX1_15-scaffold_2_c1_428	2.4.1.227:11	GT28(181-341)	GT28_e46	GT28	N	3
700mSIPHEX1_15-scaffold_2_c1_434	3.5.1.108:18	CE11(4-275)	CE11_e22	CE11	N	3
700mSIPHEX1_15-scaffold_2_c1_5	-	AA4(5-229)	AA4_e1	-	N	2
700mSIPHEX1_15-scaffold_2_c1_593	-	GH73(188-323)	GH73_e204	GH73	N	3
700mSIPHEX1_15-scaffold_2_c1_6	-	GT51(59-233)	GT51_e153	GT51	N	3
700mSIPHEX1_15-scaffold_2_c1_634	-	GH23(219-368)	GH23_e625	GH23	N	3
700mSIPHEX1_15-scaffold_2_c1_763	-	AA3(63-555)	-	-	Y(1-45)	1
700mSIPHEX1_15-scaffold_2_c1_962	-	GH23(104-203)	GH23_e932	-	Y(1-41)	2
700mSIPHEX1_15-scaffold_36_c1_170	-	AA6(6-194)	AA6_e2	-	N	2
700mSIPHEX1_15-scaffold_36_c1_20	2.4.1.182:13	GT19(13-370)	GT19_e17	GT19	N	3
700mSIPHEX1_15-scaffold_36_c1_225	-	GT2(10-144)	GT2	-	N	2
700mSIPHEX1_15-scaffold_36_c1_227	-	GT4(201-331)	GT4_e949	-	N	2
700mSIPHEX1_15-scaffold_36_c1_230	-	GT4(186-332)	GT4_e983	GT4	N	3
700mSIPHEX1_15-scaffold_36_c1_279	-	GH13_18(95-435)	GH13_e237	GH13_18	N	3
700mSIPHEX1_15-scaffold_36_c1_280	-	GT81(117-322)	GT81_e1	GT81	N	3
700mSIPHEX1_15-scaffold_36_c1_307	3.2.1.52:1	GH3(74-296)	GH3_e78	GH3	N	3
700mSIPHEX1_15-scaffold_57_c1_157	-	CE4(69-200)	CE4_e250	-	Y(1-18)	2
700mSIPHEX1_15-scaffold_9_c1_145	-	GH24(113-260)	GH24_e262	-	N	2
700mSIPHEX1_15-scaffold_9_c1_333	2.4.99.-:25	GT30(33-211)	GT30_e0	GT30	N	3
700mSIPHEX1_15-scaffold_9_c1_369	-	AA3(40-511)	-	-	Y(1-31)	1
700mSIPHEX1_15-scaffold_9_c1_39	-	AA3_2(2-528)	AA3_e57	AA3_2	N	3
700mSIPHEX1_15-scaffold_11_c1_115	-	-	CBM50_e568	-	N	1
700mSIPHEX1_15-scaffold_11_c1_447	-	-	GT4_e2309	GT4	N	2
700mSIPHEX1_15-scaffold_9_c1_415	-	-	CBM50_e367	CBM50	Y(1-23)	2
700mSIPHEX1_15-scaffold_161_c1_16	-	-	GT4_e3110	-	Y(1-15)	1
700mSIPHEX1_15-scaffold_9_c1_502	-|-	-	AA2_e1+AA2_e1	AA0	N	2
700mSIPHEX1_15-scaffold_11_c1_100	-	-	-	GH13_31	N	1
700mSIPHEX1_15-scaffold_11_c1_206	-	-	-	CBM50	N	1
700mSIPHEX1_15-scaffold_11_c1_331	-	-	-	GH13_26	N	1
700mSIPHEX1_15-scaffold_11_c1_36	-	-	-	GH1	N	1
700mSIPHEX1_15-scaffold_11_c1_395	-	-	-	GH13_23	N	1
700mSIPHEX1_15-scaffold_11_c1_438	-	-	-	GH13	N	1
700mSIPHEX1_15-scaffold_11_c1_457	-	-	-	GH13_30	N	1
700mSIPHEX1_15-scaffold_116_c1_15	-	-	-	GT51	N	1
700mSIPHEX1_15-scaffold_126_c1_1	-	-	-	CBM50	N	1
700mSIPHEX1_15-scaffold_126_c1_32	-	-	-	GT51	N	1
700mSIPHEX1_15-scaffold_126_c1_65	-	-	-	GH23	N	1
700mSIPHEX1_15-scaffold_126_c1_84	-	-	-	CBM50	N	1
700mSIPHEX1_15-scaffold_16_c1_106	-	-	-	GH103	N	1
700mSIPHEX1_15-scaffold_16_c1_148	-	-	-	GT4	N	1
700mSIPHEX1_15-scaffold_16_c1_174	-	-	-	GH5_12	N	1
700mSIPHEX1_15-scaffold_16_c1_24	-	-	-	GH18	Y(1-23)	1
700mSIPHEX1_15-scaffold_16_c1_27	-	-	-	GH28	N	1
700mSIPHEX1_15-scaffold_16_c1_278	-	-	-	CBM48+GH13_9	N	1
700mSIPHEX1_15-scaffold_16_c1_299	-	-	-	GT87	N	1
700mSIPHEX1_15-scaffold_16_c1_3	-	-	-	CBM50	Y(1-22)	1
700mSIPHEX1_15-scaffold_16_c1_320	-	-	-	GT2	N	1
700mSIPHEX1_15-scaffold_16_c1_324	-	-	-	GT4	N	1
700mSIPHEX1_15-scaffold_16_c1_358	-	-	-	GH39	N	1
700mSIPHEX1_15-scaffold_16_c1_53	-	-	-	GT25	N	1
700mSIPHEX1_15-scaffold_16_c1_81	-	-	-	GT51	N	1
700mSIPHEX1_15-scaffold_16_c1_82	-	-	-	GT2	N	1
700mSIPHEX1_15-scaffold_16_c1_83	-	-	-	GT2	N	1
700mSIPHEX1_15-scaffold_16_c1_84	-	-	-	GT2	N	1
700mSIPHEX1_15-scaffold_16_c1_85	-	-	-	GT2	N	1
700mSIPHEX1_15-scaffold_16_c1_86	-	-	-	GT22	N	1
700mSIPHEX1_15-scaffold_16_c1_89	-	-	-	GH1	N	1
700mSIPHEX1_15-scaffold_161_c1_14	-	-	-	GT4	N	1
700mSIPHEX1_15-scaffold_161_c1_28	-	-	-	CBM13	Y(1-22)	1
700mSIPHEX1_15-scaffold_161_c1_8	-	-	-	GT4	N	1
700mSIPHEX1_15-scaffold_2_c1_121	-	-	-	GH13_11	N	1
