Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX2_13-scaffold_105_c1_123	-	GH24(100-229)	GH24_e197	GH24	N	3
700mSIPHEX2_13-scaffold_105_c1_51	-	CE1(62-244)	-	-	Y(1-45)	1
700mSIPHEX2_13-scaffold_107_c1_13	-	CE9(13-378)	CE9_e55	CE9	N	3
700mSIPHEX2_13-scaffold_111_c1_52	-	GT2(6-111)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_141_c1_52	-	GT51(97-257)	GT51_e71	GT51	N	3
700mSIPHEX2_13-scaffold_150_c1_36	-	GH3(55-276)	GH3_e228	GH3	N	3
700mSIPHEX2_13-scaffold_154_c1_1	-|-|-	GT4(455-601)+GT2(640-748)+GT4(1114-1253)	GT4_e2767+GT2+GT4_e2767	GT2+GT4	N	3
700mSIPHEX2_13-scaffold_154_c1_12	-	GT2(27-124)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_154_c1_16	-	GT4(213-374)	GT4_e711	GT4	N	3
700mSIPHEX2_13-scaffold_1553_c1_2	-	GH24(101-229)	GH24_e197	GH24	N	3
700mSIPHEX2_13-scaffold_160_c1_66	-	GH24(100-228)	GH24_e197	-	N	2
700mSIPHEX2_13-scaffold_20_c1_210	-	GH25(70-248)	GH25_e187	GH25	Y(1-30)	3
700mSIPHEX2_13-scaffold_20_c1_266	-	AA3_2(2-525)	AA3_e57	AA3	N	3
700mSIPHEX2_13-scaffold_20_c1_330	-	GT41(181-708)	GT41_e8	GT41	N	3
700mSIPHEX2_13-scaffold_20_c1_388	-	GH103(25-317)	GH103_e30	GH103	Y(1-20)	3
700mSIPHEX2_13-scaffold_24_c1_144	-	GT51(71-227)	GT51_e37	GT51	N	3
700mSIPHEX2_13-scaffold_24_c1_163	-	GT14(7-248)	GT14_e83	GT14	N	3
700mSIPHEX2_13-scaffold_24_c1_164	-	GT2(49-145)	GT2	GT0	N	3
700mSIPHEX2_13-scaffold_24_c1_165	-	GT2(60-147)	GT2	GT0	N	3
700mSIPHEX2_13-scaffold_24_c1_242	-	GH102(117-251)	GH102_e29	GH102	Y(1-27)	3
700mSIPHEX2_13-scaffold_24_c1_274	-	AA3_2(2-532)	AA3_e57	AA3_2	N	3
700mSIPHEX2_13-scaffold_24_c1_343	-	GT30(9-174)	GT30_e45	GT30	N	3
700mSIPHEX2_13-scaffold_24_c1_46	-	GT25(4-177)	GT25_e67	GT25	N	3
700mSIPHEX2_13-scaffold_24_c1_52	-	GT11(1-280)	GT11_e1	GT11	N	3
700mSIPHEX2_13-scaffold_296_c1_23	-	AA3_2(13-538)	AA3_e57	AA3_2	N	3
700mSIPHEX2_13-scaffold_32_c1_123	-	GT30(45-225)	GT30_e43	GT30	N	3
700mSIPHEX2_13-scaffold_32_c1_124	-	GT4(164-315)	GT4_e3257	GT4	N	3
700mSIPHEX2_13-scaffold_32_c1_169	-	CE11(37-309)	CE11_e5	CE11	N	3
700mSIPHEX2_13-scaffold_32_c1_179	-	GT28(186-348)	GT28_e3	GT28	N	3
700mSIPHEX2_13-scaffold_32_c1_255	-	GT81(111-318)	GT81_e1	GT81	N	3
700mSIPHEX2_13-scaffold_32_c1_256	-	GH13_18(94-434)	GH13_e237	GH13_18	N	3
700mSIPHEX2_13-scaffold_32_c1_42	-	GT2(10-108)	GT92_e3	GT0	N	3
700mSIPHEX2_13-scaffold_32_c1_44	-	GT2(458-557)	GT92_e3	GT0	N	3
700mSIPHEX2_13-scaffold_32_c1_46	-	GT2(10-111)	-	GT0	N	2
700mSIPHEX2_13-scaffold_32_c1_6	-	GH109(2-186)	-	-	N	1
700mSIPHEX2_13-scaffold_32_c1_80	-	GT2(19-116)	-	-	N	1
700mSIPHEX2_13-scaffold_361_c1_14	-	GH103(34-235)	GH103_e15	GH103	Y(1-25)	3
700mSIPHEX2_13-scaffold_479_c1_8	-	GT2(4-176)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_48_c1_134	-	GH23(491-620)	GH23_e847	GH23	Y(1-21)	3
700mSIPHEX2_13-scaffold_48_c1_151	-	AA2(86-189)	AA2_e1	AA0	N	3
700mSIPHEX2_13-scaffold_48_c1_42	-	GH24(125-253)	GH24_e197	GH24	N	3
700mSIPHEX2_13-scaffold_48_c1_72	-	AA7(52-235)	-	-	N	1
700mSIPHEX2_13-scaffold_48_c1_87	-	GT14(24-266)	GT14_e60	GT14	N	3
700mSIPHEX2_13-scaffold_48_c1_98	2.4.1.129:1	GT51(149-337)	GT51_e144	GT51	N	3
700mSIPHEX2_13-scaffold_51_c1_157	-	GT2(13-133)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_51_c1_158	-	GT26(57-229)	GT26_e144	GT26	N	3
700mSIPHEX2_13-scaffold_51_c1_166	-	GT2(24-129)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_51_c1_167	-	GT4(224-365)	GT4_e3096	GT4	N	3
700mSIPHEX2_13-scaffold_51_c1_22	-	GT2(306-533)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_51_c1_68	-	GH23(155-267)	GH23_e757	-	Y(1-28)	2
700mSIPHEX2_13-scaffold_60_c1_14	-	GT19(5-358)	GT19_e34	GT19	N	3
700mSIPHEX2_13-scaffold_715_c1_8	-	GH23(100-199)	GH23_e673	-	Y(1-30)	2
700mSIPHEX2_13-scaffold_71_c1_178	-	CE1(21-272)	-	-	N	1
700mSIPHEX2_13-scaffold_71_c1_59	-	CE4(15-160)	CE4_e221	CE4	N	3
700mSIPHEX2_13-scaffold_83_c1_3	-	GT2(4-112)	GT2	GT2	N	3
700mSIPHEX2_13-scaffold_83_c1_48	-	GT1(3-374)	GT1_e139	GT1	Y(1-20)	3
700mSIPHEX2_13-scaffold_83_c1_50	-	GT4(207-332)	GT4_e164	GT4	N	3
700mSIPHEX2_13-scaffold_83_c1_51	-	GT4(232-383)	GT4_e800	GT4	N	3
700mSIPHEX2_13-scaffold_85_c1_117	-	GT51(60-235)	GT51_e77	GT51	N	3
700mSIPHEX2_13-scaffold_85_c1_148	-	GH24(100-229)	GH24_e197	GH24	N	3
700mSIPHEX2_13-scaffold_85_c1_30	-	AA3_2(3-529)	AA3_e57	AA3_2	N	3
700mSIPHEX2_13-scaffold_89_c1_35	-	GT4(242-384)	GT4_e1969	GT4	N	3
700mSIPHEX2_13-scaffold_89_c1_45	-	AA4(14-242)	AA4_e1	-	N	2
700mSIPHEX2_13-scaffold_92_c1_11	2.4.99.-:2|2.4.99.-:2	GT107(47-328)+GT107(308-676)	GT107_e0+GT107_e0	GT107	N	3
700mSIPHEX2_13-scaffold_24_c1_370	-	-	GH23_e571	GH23	Y(1-20)	2
700mSIPHEX2_13-scaffold_479_c1_11	-	-	GT2	-	N	1
700mSIPHEX2_13-scaffold_105_c1_50	-	-	GT2	GT2	N	2
700mSIPHEX2_13-scaffold_154_c1_8	-	-	GT2	GT2	N	2
700mSIPHEX2_13-scaffold_160_c1_58	-	-	GH23_e800	-	Y(1-48)	1
700mSIPHEX2_13-scaffold_269_c1_22	-	-	CBM50_e489	-	N	1
700mSIPHEX2_13-scaffold_278_c1_6	-	-	GT4_e3724	-	N	1
700mSIPHEX2_13-scaffold_32_c1_65	-|-	-	CBM50_e1000+CBM50_e405	CBM50	Y(1-36)	2
700mSIPHEX2_13-scaffold_479_c1_9	-	-	GT2	GT2	N	2
700mSIPHEX2_13-scaffold_51_c1_150	3.5.1.41:1	-	CE4_e177	CE4	N	2
700mSIPHEX2_13-scaffold_51_c1_161	-	-	GT2	GT2	N	2
700mSIPHEX2_13-scaffold_83_c1_52	-	-	GT1_e452	GT1	N	2
700mSIPHEX2_13-scaffold_89_c1_8	-	-	GH104_e12	GH0	Y(1-25)	2
700mSIPHEX2_13-scaffold_105_c1_62	-	-	-	CBM50	Y(1-23)	1
