Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
700mSIPHEX2_16-scaffold_101_c1_45	CAE6201330.1|GH1	52.9	647	294	3	6	641	564	1210	2.31e-239	701
700mSIPHEX2_16-scaffold_101_c1_99	QSX34227.1|CBM2	32.4	1275	437	17	237	1503	248	1105	1.85e-170	554
700mSIPHEX2_16-scaffold_103_c1_10	CAD7280782.1|GT2	53.9	833	352	2	124	924	360	1192	1.98e-294	893
700mSIPHEX2_16-scaffold_103_c1_11	URO00451.1|GT51	83.5	237	37	1	1	235	1	237	1.91e-147	415
700mSIPHEX2_16-scaffold_103_c1_18	AGN91810.2|GT4	57.0	470	195	4	3	466	4	472	6.27e-186	532
700mSIPHEX2_16-scaffold_103_c1_3	AEP30133.1|CBM41|CBM48|GH13_13	83.9	1464	235	0	27	1490	1	1464	0.0	2505
700mSIPHEX2_16-scaffold_103_c1_42	CAD7252417.1|GH13	39.2	582	339	8	127	695	339	918	4.70e-112	376
700mSIPHEX2_16-scaffold_103_c1_54	CUS04610.2|GT4	39.3	763	451	5	43	804	21	772	3.31e-179	538
700mSIPHEX2_16-scaffold_103_c1_55	AMJ20771.1|GH13_26	63.4	864	306	4	10	872	4	858	0.0	1122
700mSIPHEX2_16-scaffold_103_c1_61	CAD7221988.1|GH103	45.7	608	324	2	4	609	8	611	2.09e-172	530
700mSIPHEX2_16-scaffold_103_c1_62	CAD7221988.1|GH103	59.8	346	138	1	16	361	631	975	1.60e-123	390
700mSIPHEX2_16-scaffold_103_c1_7	QKX60855.1|GT22	65.0	283	96	3	5	284	577	859	1.22e-110	344
700mSIPHEX2_16-scaffold_103_c1_8	CAD7280782.1|GT2	65.3	346	117	2	21	365	1794	2137	4.81e-134	429
700mSIPHEX2_16-scaffold_103_c1_82	AEP30210.1|CBM48|GH13_11	66.9	740	204	4	8	709	10	746	0.0	1048
700mSIPHEX2_16-scaffold_103_c1_83	AEP30211.1|CBM48|GH13_9	77.2	731	160	2	1	724	1	731	0.0	1209
700mSIPHEX2_16-scaffold_103_c1_84	AEP30212.1|GH77	77.8	729	162	0	1	729	1	729	0.0	1201
700mSIPHEX2_16-scaffold_103_c1_9	CAD7280782.1|GT2	60.9	350	116	3	152	487	1178	1520	7.72e-119	390
700mSIPHEX2_16-scaffold_104_c1_102	QWC20507.1|AA3_2	43.0	528	291	7	3	528	5	524	3.19e-138	415
700mSIPHEX2_16-scaffold_104_c1_104	CAE6179499.1|GH152	37.5	709	350	19	8	638	77	770	2.91e-126	404
700mSIPHEX2_16-scaffold_104_c1_21	ALR08738.2|GT83	54.1	590	256	7	1	581	1	584	6.01e-210	602
