Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_32-scaffold_1014_c1_10	ACT59826.1|GT2	51.4	290	139	2	1	290	1	288	1.56e-103	310
5mSIPHEX1_32-scaffold_1014_c1_2	QSR22800.1|GT0	85.3	381	56	0	1	381	1	381	2.12e-239	660
5mSIPHEX1_32-scaffold_1014_c1_5	QSR22796.1|GT2	58.0	317	133	0	6	322	8	324	1.76e-123	362
5mSIPHEX1_32-scaffold_1014_c1_8	UAX95400.1|GT2	46.4	364	189	4	5	366	13	372	2.61e-103	315
5mSIPHEX1_32-scaffold_1046_c1_5	CAB3230510.1|AA3_2	47.7	541	270	6	4	535	25	561	1.62e-175	512
5mSIPHEX1_32-scaffold_1102_c1_2	CAG7883609.1|GT1	56.0	879	370	5	21	895	173	1038	0.0	920
5mSIPHEX1_32-scaffold_1201_c1_9	AWP05996.1|GT25	37.3	608	354	8	14	603	46	644	8.97e-116	380
5mSIPHEX1_32-scaffold_1251_c1_3	ABI75525.1|PL0	66.5	571	191	0	7	577	5	575	1.24e-297	823
5mSIPHEX1_32-scaffold_1251_c1_5	QYU66396.1|GH13_23	61.1	455	173	3	11	462	4	457	2.53e-179	525
5mSIPHEX1_32-scaffold_126_c1_11	QSR23682.1|GT20	93.1	464	32	0	1	464	1	464	0.0	884
5mSIPHEX1_32-scaffold_126_c1_13	QSR23680.1|GH15	93.9	588	36	0	1	588	1	588	0.0	1149
5mSIPHEX1_32-scaffold_126_c1_47	QSR23646.1|CE11	94.5	307	17	0	2	308	1	307	9.91e-192	533
5mSIPHEX1_32-scaffold_126_c1_5	QSR23688.1|GT2	84.6	479	74	0	1	479	62	540	1.72e-292	805
5mSIPHEX1_32-scaffold_138_c1_5	QSR23468.1|GH3	92.1	908	72	0	16	923	1	908	0.0	1713
5mSIPHEX1_32-scaffold_138_c1_68	QSR23533.1|GH25	83.8	229	37	0	1	229	1	229	9.32e-151	423
5mSIPHEX1_32-scaffold_138_c1_81	QSR23545.1|GT51	92.1	685	54	0	1	685	1	685	0.0	1265
5mSIPHEX1_32-scaffold_144_c2_9	CDM22846.1|GT51	49.2	423	197	7	4	417	895	1308	9.64e-110	356
5mSIPHEX1_32-scaffold_1520_c1_1	AGL63717.2|GT4	47.4	458	184	6	174	576	107	562	2.08e-126	393
5mSIPHEX1_32-scaffold_163_c2_40	QCE13289.1|CE8	51.7	402	165	3	12	387	414	812	1.12e-123	395
5mSIPHEX1_32-scaffold_1691_c1_6	CUS04494.2|GH39	57.8	831	306	7	1	789	432	1259	1.96e-310	891
5mSIPHEX1_32-scaffold_173_c1_20	QSR23157.1|GH0	91.3	1151	100	0	53	1203	100	1250	0.0	2106
5mSIPHEX1_32-scaffold_173_c1_50	QSR23126.1|GH43_1	92.8	389	28	0	1	389	1	389	8.18e-264	722
5mSIPHEX1_32-scaffold_1778_c1_1	CAD7280782.1|GT2	50.6	354	163	3	56	408	823	1165	4.37e-108	357
5mSIPHEX1_32-scaffold_183_c1_35	QSR21934.1|GT30	94.3	420	24	0	1	420	1	420	7.63e-287	783
5mSIPHEX1_32-scaffold_183_c1_57	CAE6201330.1|GH1	53.3	642	288	5	20	649	569	1210	2.75e-243	712
5mSIPHEX1_32-scaffold_184_c1_53	QIQ86349.1|GH16_3	53.2	316	144	2	15	326	9	324	3.88e-120	354
5mSIPHEX1_32-scaffold_210_c1_19	AWZ17133.1|GH13_30	36.1	1075	614	23	1	1015	401	1462	7.25e-189	598
5mSIPHEX1_32-scaffold_210_c1_5	QSR22515.1|GT19	83.8	395	64	0	1	395	1	395	1.15e-227	631
5mSIPHEX1_32-scaffold_210_c1_50	QSR22560.1|GH13_23	80.1	533	106	0	9	541	1	533	0.0	925
5mSIPHEX1_32-scaffold_213_c1_31	QSR22434.1|GH3	88.4	344	40	0	2	345	1	344	1.50e-216	599
5mSIPHEX1_32-scaffold_213_c1_38	UAB77099.1|GH23	58.1	360	139	4	13	372	367	714	1.56e-129	392
5mSIPHEX1_32-scaffold_213_c1_42	AMJ20543.1|GH13_11	63.3	403	148	0	27	429	7	409	3.52e-175	501
5mSIPHEX1_32-scaffold_218_c1_13	ACT60436.1|GH28	69.0	406	126	0	3	408	57	462	8.18e-209	587
5mSIPHEX1_32-scaffold_218_c1_15	ACT60435.1|GH28	74.2	538	122	4	1	532	1	527	3.89e-284	786
5mSIPHEX1_32-scaffold_218_c1_24	UKA51057.1|GH43_17	38.2	783	367	21	57	779	307	1032	1.51e-161	500
5mSIPHEX1_32-scaffold_218_c1_25	ACT60425.1|GH43_18	73.5	321	84	1	1	320	1	321	7.96e-182	509
5mSIPHEX1_32-scaffold_218_c1_27	UNE49194.1|GH10	49.1	369	175	2	9	376	3	359	6.25e-124	367
5mSIPHEX1_32-scaffold_218_c2_3	CAD7731929.1|GH43_12	72.6	270	74	0	2	271	19	288	4.00e-136	419
5mSIPHEX1_32-scaffold_219_c1_31	QSR21271.1|GT4	95.4	368	17	0	1	368	33	400	8.42e-261	714
5mSIPHEX1_32-scaffold_2273_c1_3	QBQ55156.1|CBM50	38.4	656	382	7	80	733	62	697	9.07e-128	407
5mSIPHEX1_32-scaffold_234_c1_2	CAG7911095.1|GH5_11	38.9	968	485	22	11	948	588	1479	9.44e-216	660
5mSIPHEX1_32-scaffold_2416_c1_3	CCQ75237.1|GT2	61.1	298	116	0	21	318	11	308	5.47e-123	360
5mSIPHEX1_32-scaffold_242_c1_27	UKZ91289.1|AA0	60.6	751	269	4	11	737	6	753	0.0	927
5mSIPHEX1_32-scaffold_2491_c1_5	CUS04494.2|GH39	48.2	355	181	2	1	355	1	352	6.51e-104	337
5mSIPHEX1_32-scaffold_259_c1_38	QKX55086.1|GH55	36.3	601	338	13	5	572	795	1383	2.30e-109	362
5mSIPHEX1_32-scaffold_260_c1_4	CAD7221988.1|GH103	37.9	620	348	10	12	619	22	616	5.99e-112	370
5mSIPHEX1_32-scaffold_260_c1_7	CCA14548.1|GT2	51.8	311	148	2	10	319	443	752	1.06e-112	348
5mSIPHEX1_32-scaffold_2653_c1_2	QSR21347.1|GH24	87.2	397	50	1	1	396	24	420	8.89e-243	671
5mSIPHEX1_32-scaffold_273_c1_20	QSR21709.1|GH23	92.7	674	49	0	1	674	1	674	0.0	1266
5mSIPHEX1_32-scaffold_273_c1_37	QSR21724.1|GT2	91.1	338	30	0	3	340	9	346	6.58e-217	600
5mSIPHEX1_32-scaffold_273_c1_45	QCE13289.1|CE8	46.9	409	188	3	20	404	409	812	1.67e-112	365
5mSIPHEX1_32-scaffold_303_c1_29	QSR20778.1|GT2	95.2	249	12	0	1	249	1	249	5.71e-180	498
5mSIPHEX1_32-scaffold_303_c1_43	QSR20765.1|GT4	96.8	349	11	0	1	349	1	349	2.12e-248	680
5mSIPHEX1_32-scaffold_306_c1_16	QSR23214.1|GT51	92.7	675	49	0	1	675	1	675	0.0	1249
5mSIPHEX1_32-scaffold_306_c1_23	AHC21644.2|GH1	44.6	522	279	5	4	524	9	521	6.37e-148	439
5mSIPHEX1_32-scaffold_311_c1_10	QSR23748.1|GT2	89.6	269	28	0	1	269	1	269	1.09e-178	497
5mSIPHEX1_32-scaffold_311_c1_24	QSR23734.1|GH103	91.9	433	33	1	17	447	1	433	2.82e-290	793
5mSIPHEX1_32-scaffold_311_c1_39	QSR23720.1|GT2	85.0	468	70	0	1	468	1	468	7.86e-291	797
5mSIPHEX1_32-scaffold_311_c1_8	CAN65674.1|GH28	43.1	571	287	8	56	623	94	629	2.33e-143	454
5mSIPHEX1_32-scaffold_325_c1_12	CUS02574.2|GT2	59.9	319	124	1	6	324	3	317	2.35e-138	399
5mSIPHEX1_32-scaffold_325_c1_17	BCG96150.1|GT4	43.9	970	515	11	1	959	6	957	2.40e-266	775
5mSIPHEX1_32-scaffold_325_c1_3	QWA11134.1|GT2	49.7	334	165	2	1	331	288	621	5.35e-108	334
5mSIPHEX1_32-scaffold_325_c1_32	AXE63397.1|GT2	53.6	332	135	2	31	352	7	329	2.30e-124	365
5mSIPHEX1_32-scaffold_325_c1_5	QAY63367.1|GT2	59.2	287	115	2	1	286	316	601	1.16e-113	345
5mSIPHEX1_32-scaffold_331_c1_10	VTR91273.1|GH33	46.3	374	177	6	32	382	20	392	5.42e-103	332
5mSIPHEX1_32-scaffold_331_c1_9	QLC24751.1|GH3	64.0	697	240	5	1	693	1	690	7.28e-314	875
5mSIPHEX1_32-scaffold_363_c1_9	ATE86697.1|GH36	56.7	487	207	2	2	488	724	1206	5.26e-182	547
5mSIPHEX1_32-scaffold_364_c1_1	AXE66036.1|GT83	64.8	687	156	3	1	683	1	605	0.0	890
5mSIPHEX1_32-scaffold_364_c1_26	CAE6204650.1|GH28	51.2	602	285	6	4	598	744	1343	8.64e-196	591
5mSIPHEX1_32-scaffold_407_c1_27	UNE47962.1|GH3	68.4	730	228	2	22	750	23	750	0.0	1019
5mSIPHEX1_32-scaffold_424_c1_1	QCW79542.1|GH101	55.2	353	158	0	57	409	612	964	4.63e-134	415
5mSIPHEX1_32-scaffold_424_c1_6	QSR22919.1|GH51	95.4	496	23	0	1	496	16	511	0.0	969
5mSIPHEX1_32-scaffold_436_c1_23	QSR21235.1|GT4	93.7	380	24	0	7	386	1	380	1.04e-247	681
5mSIPHEX1_32-scaffold_436_c1_24	QSR21236.1|GT9	97.4	344	9	0	1	344	1	344	6.54e-245	671
5mSIPHEX1_32-scaffold_438_c1_15	QSR22614.1|GT20	80.5	440	86	0	29	468	1	440	1.17e-262	725
5mSIPHEX1_32-scaffold_438_c1_3	QKX53460.1|AA4	43.7	403	220	3	8	407	640	1038	9.06e-104	335
5mSIPHEX1_32-scaffold_440_c1_16	QSR22324.1|GH3	80.8	790	148	3	1	788	1	788	0.0	1257
5mSIPHEX1_32-scaffold_446_c1_3	QSR21377.1|GT2	91.8	343	28	0	1	343	1	343	1.53e-222	614
5mSIPHEX1_32-scaffold_462_c1_11	QSR20842.1|GH16	86.9	267	35	0	12	278	1	267	1.08e-189	525
5mSIPHEX1_32-scaffold_493_c1_13	QBQ55243.1|CBM50	48.8	881	443	5	18	892	10	888	9.15e-259	757
5mSIPHEX1_32-scaffold_506_c1_4	CCO12112.2|GH13_31	63.9	424	148	3	1	419	1	424	6.95e-183	521
5mSIPHEX1_32-scaffold_510_c1_1	QSR22965.1|GT51	93.5	894	53	2	1	891	1	892	0.0	1649
5mSIPHEX1_32-scaffold_510_c1_13	QSR22978.1|CE20	80.1	647	129	0	1	647	1	647	0.0	1075
5mSIPHEX1_32-scaffold_510_c1_3	QOF98722.1|GT87	52.9	554	254	6	8	560	12	559	1.95e-206	591
5mSIPHEX1_32-scaffold_510_c1_6	QSR22970.1|GT2	89.4	227	24	0	1	227	1	227	3.90e-142	401
5mSIPHEX1_32-scaffold_519_c1_2	QSR23580.1|GT51	93.0	343	24	0	1	343	1	343	6.94e-219	605
5mSIPHEX1_32-scaffold_519_c1_3	QYU66445.1|GT4	60.6	340	132	2	5	342	10	349	8.76e-135	414
5mSIPHEX1_32-scaffold_533_c1_1	ABI78434.1|GT83	62.2	481	102	3	1	481	1	401	1.01e-206	590
5mSIPHEX1_32-scaffold_533_c1_2	QSR20946.1|GT2	92.6	243	18	0	1	243	1	243	1.14e-167	467
5mSIPHEX1_32-scaffold_581_c1_2	ABU58632.1|GH29	47.8	427	216	5	15	435	3	428	1.31e-137	409
5mSIPHEX1_32-scaffold_581_c1_4	ABU58632.1|GH29	47.6	429	218	5	5	427	1	428	7.96e-137	407
5mSIPHEX1_32-scaffold_588_c1_12	QSR23016.1|GH67	92.9	732	52	0	2	733	13	744	0.0	1401
