Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
5mSIPHEX1_32-scaffold_1014_c1_10	-	GT2(17-179)	GT2	GT2	N	3
5mSIPHEX1_32-scaffold_1014_c1_5	2.4.1.-:1	GT2(12-143)	GT2	GT2	N	3
5mSIPHEX1_32-scaffold_1014_c1_8	-	GT2(6-171)	GT2	GT2	N	3
5mSIPHEX1_32-scaffold_1014_c1_9	-	GT4(210-363)	GT4_e731	-	N	2
5mSIPHEX1_32-scaffold_1046_c1_5	-	AA3_2(3-530)	AA3_e57	AA3_2	N	3
5mSIPHEX1_32-scaffold_1260_c1_6	-	AA6(3-187)	AA6_e2	-	N	2
5mSIPHEX1_32-scaffold_126_c1_11	2.4.1.15:96	GT20(5-459)	GT20_e1	GT20	N	3
5mSIPHEX1_32-scaffold_126_c1_13	-	GH15(214-577)	GH15_e57	GH15	N	3
5mSIPHEX1_32-scaffold_126_c1_47	-	CE11(9-282)	CE11_e38	CE11	N	3
5mSIPHEX1_32-scaffold_126_c1_5	-	GT2(207-396)	GT2	GT2	N	3
5mSIPHEX1_32-scaffold_134_c1_33	-	AA7(34-457)	AA7_e3	-	N	2
5mSIPHEX1_32-scaffold_138_c1_5	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(98-353)	GH3_e0	GH3	N	3
5mSIPHEX1_32-scaffold_138_c1_68	-	GH25(39-214)	GH25_e57	GH25	Y(1-19)	3
5mSIPHEX1_32-scaffold_138_c1_79	-	GT83(19-403)	GT83_e87	-	N	2
5mSIPHEX1_32-scaffold_138_c1_81	-	GT51(58-219)	GT51_e71	GT51	N	3
5mSIPHEX1_32-scaffold_173_c1_50	3.2.1.37:19|3.2.1.55:4	GH43_1(55-380)	GH43_e53	GH43_1	Y(1-28)	3
5mSIPHEX1_32-scaffold_183_c1_35	-	GT30(36-212)	GT30_e30	GT30	N	3
5mSIPHEX1_32-scaffold_184_c1_53	-	GH16_3(48-312)	GH16_e242	GH16_3	Y(1-23)	3
5mSIPHEX1_32-scaffold_210_c1_5	-	GT19(6-362)	GT19_e27	GT19	N	3
5mSIPHEX1_32-scaffold_210_c1_50	3.2.1.20:1	GH13_23(40-384)	GH13_e140	GH13_23	N	3
5mSIPHEX1_32-scaffold_213_c1_31	-	GH3(55-278)	GH3_e46	GH3	N	3
5mSIPHEX1_32-scaffold_218_c1_13	-	GH28(25-406)	GH28_e119	GH28	N	3
5mSIPHEX1_32-scaffold_218_c1_14	-	CE1(39-238)	-	-	N	1
5mSIPHEX1_32-scaffold_218_c1_15	3.2.1.173:1	GH28(69-427)	GH28_e34	GH28	Y(1-32)	3
