Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
5mSIPHEX1_1-scaffold_1040_c1_2	AII85775.1|GT30	98.0	444	9	0	1	444	1	444	0.0	879
5mSIPHEX1_1-scaffold_1101_c1_8	ABF62823.1|PL0	46.3	551	290	3	17	561	13	563	3.39e-160	474
5mSIPHEX1_1-scaffold_1101_c1_9	QYU66396.1|GH13_23	62.3	454	167	3	5	455	4	456	3.43e-183	535
5mSIPHEX1_1-scaffold_1166_c1_1	AII85614.1|GT30	100	378	0	0	1	378	1	378	9.71e-271	739
5mSIPHEX1_1-scaffold_1215_c1_3	CAD7221988.1|GH103	36.9	607	365	6	18	614	25	623	5.00e-116	381
5mSIPHEX1_1-scaffold_1254_c1_2	AGL64700.2|GH23	49.7	346	165	3	5	341	6	351	8.46e-109	327
5mSIPHEX1_1-scaffold_1265_c1_2	CAD7226128.1|GH38	36.0	719	400	11	9	692	1343	2036	1.49e-119	400
5mSIPHEX1_1-scaffold_1347_c1_8	AII86928.1|CBM50	98.1	377	7	0	1	377	1	377	7.42e-254	696
5mSIPHEX1_1-scaffold_1371_c1_4	CAD7280782.1|GT2	52.2	358	158	3	21	377	1794	2139	3.64e-110	360
5mSIPHEX1_1-scaffold_1371_c1_5	QKX60855.1|GT22	64.1	287	100	2	5	290	577	861	4.70e-112	348
5mSIPHEX1_1-scaffold_1371_c1_6	CAD7280782.1|GT2	46.3	795	373	9	177	936	390	1165	1.66e-224	707
5mSIPHEX1_1-scaffold_1376_c1_2	CDM22846.1|GT51	50.2	420	198	5	4	418	895	1308	5.66e-125	397
5mSIPHEX1_1-scaffold_1400_c1_1	ANI26486.1|AA3_2	52.5	539	244	5	5	535	73	607	3.24e-186	541
5mSIPHEX1_1-scaffold_1400_c1_2	AII87403.1|GT0	100	349	0	0	1	349	8	356	1.06e-261	714
5mSIPHEX1_1-scaffold_1435_c1_1	CAD7252417.1|GH13	44.7	577	295	11	76	637	345	912	6.02e-124	407
5mSIPHEX1_1-scaffold_1482_c1_4	AII87179.1|GH13_23	99.4	516	3	0	1	516	1	516	0.0	1075
5mSIPHEX1_1-scaffold_1482_c1_6	AII87177.1|GH1	99.8	439	1	0	1	439	1	439	0.0	936
5mSIPHEX1_1-scaffold_1528_c1_4	AII88541.1|GH102	98.5	342	5	0	1	342	1	342	5.21e-250	683
5mSIPHEX1_1-scaffold_1544_c1_6	AZV31449.1|GH23	37.5	576	345	9	32	602	241	806	1.11e-111	366
5mSIPHEX1_1-scaffold_1619_c1_2	CAG7911095.1|GH5_11	39.0	995	463	21	12	971	589	1474	2.67e-209	644
5mSIPHEX1_1-scaffold_1864_c1_4	CCO12112.2|GH13_31	64.9	424	144	3	1	419	1	424	8.17e-196	553
5mSIPHEX1_1-scaffold_1870_c1_5	AII86595.1|GT28	100	364	0	0	1	364	5	368	1.56e-254	697
5mSIPHEX1_1-scaffold_1934_c1_2	AII85916.1|GT51	99.7	711	2	0	1	711	1	711	0.0	1358
5mSIPHEX1_1-scaffold_1970_c1_3	AII87954.1|GT2	94.5	307	17	0	1	307	1	307	1.26e-212	586
5mSIPHEX1_1-scaffold_2015_c1_1	AII86989.1|GT51	99.4	640	4	0	1	640	206	845	0.0	1272
5mSIPHEX1_1-scaffold_2109_c1_6	ATE86697.1|GH36	48.6	391	192	3	1	389	827	1210	1.91e-112	360
5mSIPHEX1_1-scaffold_2349_c1_3	QYU68416.1|GT2	73.5	309	82	0	7	315	414	722	2.85e-148	441
5mSIPHEX1_1-scaffold_2504_c1_2	QCE13289.1|CE8	48.8	408	180	4	8	391	409	811	1.61e-119	383
5mSIPHEX1_1-scaffold_2572_c1_2	AII86603.1|CE11	99.7	306	1	0	1	306	1	306	8.34e-222	609
5mSIPHEX1_1-scaffold_3026_c1_4	CAE6201330.1|GH1	36.9	637	371	12	3	617	582	1209	1.40e-116	380
5mSIPHEX1_1-scaffold_3087_c1_3	AMJ20543.1|GH13_11	58.8	413	166	2	13	425	1	409	1.74e-163	471
5mSIPHEX1_1-scaffold_3169_c1_2	AHC21644.2|GH1	47.0	466	246	1	11	476	11	475	9.02e-148	439
5mSIPHEX1_1-scaffold_3238_c1_3	QCW79542.1|GH101	53.9	462	209	1	52	509	607	1068	7.05e-168	507
5mSIPHEX1_1-scaffold_3403_c1_4	CAE6201330.1|GH1	53.0	598	256	7	23	602	582	1172	1.24e-214	636
5mSIPHEX1_1-scaffold_3606_c1_1	USQ04675.1|GH67	49.5	368	173	3	2	364	22	381	9.48e-105	337
5mSIPHEX1_1-scaffold_3709_c1_2	CCO12868.2|GH1	36.1	927	350	8	1	886	461	1186	3.86e-164	517
5mSIPHEX1_1-scaffold_3751_c1_2	CAG7883609.1|GT1	40.0	801	448	10	62	837	247	1039	2.80e-177	543
5mSIPHEX1_1-scaffold_3831_c1_3	AII87377.1|CBM50	99.5	195	1	0	1	195	338	532	2.23e-123	363
5mSIPHEX1_1-scaffold_4121_c1_1	QYO62262.1|GH13	68.6	283	88	1	3	285	2	283	1.15e-124	367
5mSIPHEX1_1-scaffold_4998_c1_2	CAN65674.1|GH28	43.1	547	283	7	74	617	109	630	1.83e-142	451
5mSIPHEX1_1-scaffold_5161_c1_1	AII85815.1|GT2	99.3	589	4	0	1	589	53	641	0.0	1189
5mSIPHEX1_1-scaffold_5208_c1_2	CAE6204650.1|GH28	50.9	597	286	3	7	596	747	1343	7.65e-200	601
