HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	700mSIPHEX2_14-scaffold_10_c1_129	475	3.4e-26	1	166	118	286	0.9705882352941176
GT2.hmm	170	700mSIPHEX2_14-scaffold_10_c1_14	242	7.9e-31	1	167	7	175	0.9764705882352941
GT28.hmm	157	700mSIPHEX2_14-scaffold_10_c1_158	369	2.6e-48	1	154	197	351	0.9745222929936306
GH13.hmm	299	700mSIPHEX2_14-scaffold_10_c1_182	474	2e-53	12	290	59	358	0.9297658862876255
GH13_19.hmm	360	700mSIPHEX2_14-scaffold_10_c1_183	558	1e-79	136	360	177	426	0.6222222222222222
CE1.hmm	227	700mSIPHEX2_14-scaffold_10_c1_184	1159	2.3e-44	2	223	141	380	0.973568281938326
GH31.hmm	427	700mSIPHEX2_14-scaffold_10_c1_184	1159	4.8e-133	3	427	590	1025	0.9929742388758782
GH13.hmm	299	700mSIPHEX2_14-scaffold_10_c1_185	640	1.2e-55	12	296	179	506	0.9498327759197325
GH65.hmm	372	700mSIPHEX2_14-scaffold_10_c1_186	769	1.3e-146	1	372	324	704	0.9973118279569892
GH13_10.hmm	313	700mSIPHEX2_14-scaffold_10_c1_193	973	1.2e-37	4	312	403	726	0.9840255591054313
GH73.hmm	128	700mSIPHEX2_14-scaffold_10_c1_23	265	8.5e-35	3	128	71	198	0.9765625
GT5.hmm	472	700mSIPHEX2_14-scaffold_10_c1_341	270	6.9e-44	1	237	5	250	0.5
GT51.hmm	177	700mSIPHEX2_14-scaffold_10_c1_419	784	1.4e-50	17	176	64	223	0.8983050847457628
GT30.hmm	177	700mSIPHEX2_14-scaffold_115_c1_40	412	2.5e-42	10	176	45	207	0.9378531073446328
GT51.hmm	177	700mSIPHEX2_14-scaffold_14_c1_145	787	9.7e-57	1	176	66	247	0.9887005649717514
GT9.hmm	225	700mSIPHEX2_14-scaffold_14_c1_182	327	5.4e-34	3	199	60	278	0.8711111111111111
GT2.hmm	170	700mSIPHEX2_14-scaffold_14_c1_192	259	5.9e-34	1	128	6	132	0.7470588235294118
GH23.hmm	135	700mSIPHEX2_14-scaffold_14_c1_224	528	2.5e-26	2	122	163	299	0.8888888888888888
CBM50.hmm	40	700mSIPHEX2_14-scaffold_14_c1_224	528	9.2e-16	1	39	482	524	0.95
CE1.hmm	227	700mSIPHEX2_14-scaffold_14_c1_29	565	8.4e-20	7	201	199	381	0.8546255506607929
GT51.hmm	177	700mSIPHEX2_14-scaffold_14_c1_346	229	3.7e-53	12	177	52	216	0.9322033898305084
GT51.hmm	177	700mSIPHEX2_14-scaffold_14_c1_60	754	5e-58	2	176	66	245	0.9830508474576272
GH144.hmm	404	700mSIPHEX2_14-scaffold_14_c1_92	456	2.5e-187	2	403	38	450	0.9925742574257426
GH144.hmm	404	700mSIPHEX2_14-scaffold_14_c1_93	454	1e-179	3	403	41	452	0.9900990099009901
CE1.hmm	227	700mSIPHEX2_14-scaffold_14_c1_94	264	7.9e-29	6	193	35	223	0.8237885462555066
GH3.hmm	216	700mSIPHEX2_14-scaffold_14_c1_95	772	2.7e-70	3	216	105	326	0.9861111111111112
GH97.hmm	631	700mSIPHEX2_14-scaffold_14_c1_96	703	1.9e-240	4	630	9	698	0.9920760697305864
GH43_28.hmm	262	700mSIPHEX2_14-scaffold_14_c1_97	619	2.2e-106	1	262	73	336	0.9961832061068703
CBM32.hmm	124	700mSIPHEX2_14-scaffold_14_c1_97	619	2.4e-18	17	122	404	521	0.8467741935483871
GT4.hmm	160	700mSIPHEX2_14-scaffold_17_c1_100	395	4.4e-28	12	152	220	359	0.875
GT2.hmm	170	700mSIPHEX2_14-scaffold_17_c1_128	238	4.8e-25	1	132	6	137	0.7705882352941177
GT83.hmm	540	700mSIPHEX2_14-scaffold_17_c1_130	545	1.7e-64	5	476	5	472	0.8722222222222222
GT83.hmm	540	700mSIPHEX2_14-scaffold_17_c1_134	478	8.4e-17	63	359	61	362	0.5481481481481482
AA1.hmm	358	700mSIPHEX2_14-scaffold_17_c1_243	767	4.1e-71	6	358	36	563	0.9832402234636871
AA1.hmm	358	700mSIPHEX2_14-scaffold_17_c1_379	884	1.1e-63	12	358	56	680	0.9664804469273743
GT4.hmm	160	700mSIPHEX2_14-scaffold_17_c1_83	337	1.3e-23	19	156	172	309	0.85625
GT4.hmm	160	700mSIPHEX2_14-scaffold_17_c1_85	357	5.9e-23	8	156	177	326	0.925
GT4.hmm	160	700mSIPHEX2_14-scaffold_17_c1_86	374	1.1e-22	12	154	201	342	0.8875
GT2.hmm	170	700mSIPHEX2_14-scaffold_17_c1_87	335	4.2e-18	1	147	6	150	0.8588235294117647
GT4.hmm	160	700mSIPHEX2_14-scaffold_17_c1_91	386	2e-35	8	158	193	351	0.9375
GT10.hmm	347	700mSIPHEX2_14-scaffold_17_c1_97	323	7.6e-21	152	279	95	227	0.3659942363112392
GH16_3.hmm	230	700mSIPHEX2_14-scaffold_26_c2_173	270	1.6e-83	3	229	42	265	0.9826086956521739
GH3.hmm	216	700mSIPHEX2_14-scaffold_26_c2_174	767	7.5e-63	3	215	112	333	0.9814814814814815
GH16_3.hmm	230	700mSIPHEX2_14-scaffold_26_c2_175	544	3.2e-80	1	230	321	542	0.9956521739130435
CBM4.hmm	126	700mSIPHEX2_14-scaffold_26_c2_176	671	3.6e-21	2	126	388	511	0.9841269841269841
CBM4.hmm	126	700mSIPHEX2_14-scaffold_26_c2_176	671	2.2e-23	1	126	530	654	0.9920634920634921
GT2.hmm	170	700mSIPHEX2_14-scaffold_26_c2_250	328	1.8e-18	2	118	5	115	0.6823529411764706
GH31.hmm	427	700mSIPHEX2_14-scaffold_26_c2_27	802	1.7e-166	1	427	230	675	0.9976580796252927
CBM48.hmm	76	700mSIPHEX2_14-scaffold_26_c2_28	637	3.7e-18	2	70	29	116	0.8947368421052632
GH13_9.hmm	301	700mSIPHEX2_14-scaffold_26_c2_28	637	3.4e-152	1	301	184	484	0.9966777408637874
CE14.hmm	124	700mSIPHEX2_14-scaffold_26_c2_282	239	3e-23	1	124	6	111	0.9919354838709677
GT5.hmm	472	700mSIPHEX2_14-scaffold_26_c2_30	470	2.9e-147	1	471	2	465	0.9957627118644068
CE14.hmm	124	700mSIPHEX2_14-scaffold_26_c2_300	843	3.6e-17	1	113	45	156	0.9032258064516129
PL7.hmm	231	700mSIPHEX2_14-scaffold_2_c2_200	302	2.9e-58	1	231	51	301	0.9956709956709957
PL17_2.hmm	133	700mSIPHEX2_14-scaffold_2_c2_206	763	2e-25	44	133	200	301	0.6691729323308271
PL17.hmm	139	700mSIPHEX2_14-scaffold_2_c2_206	763	6.1e-50	1	138	421	556	0.9856115107913669
PL12.hmm	138	700mSIPHEX2_14-scaffold_2_c2_207	762	1.1e-20	1	138	414	559	0.9927536231884058
PL6.hmm	372	700mSIPHEX2_14-scaffold_2_c2_208	768	1e-137	2	370	26	409	0.989247311827957
PL6_1.hmm	347	700mSIPHEX2_14-scaffold_2_c2_208	768	1.3e-43	1	217	506	711	0.622478386167147
PL7.hmm	231	700mSIPHEX2_14-scaffold_2_c2_209	319	3.7e-44	1	231	64	318	0.9956709956709957
CE1.hmm	227	700mSIPHEX2_14-scaffold_2_c2_22	216	1.4e-17	23	207	16	197	0.8105726872246696
CE11.hmm	271	700mSIPHEX2_14-scaffold_2_c2_265	469	2.2e-74	1	220	10	230	0.8081180811808119
CBM9.hmm	182	700mSIPHEX2_14-scaffold_2_c2_33	818	3.9e-19	1	165	36	205	0.9010989010989011
PL7_5.hmm	267	700mSIPHEX2_14-scaffold_2_c2_417	368	1.4e-67	25	265	66	347	0.898876404494382
AA2.hmm	255	700mSIPHEX2_14-scaffold_2_c2_428	744	8e-16	16	118	100	203	0.4
GT2.hmm	170	700mSIPHEX2_14-scaffold_2_c2_529	347	4.1e-24	1	118	18	132	0.6882352941176471
GH23.hmm	135	700mSIPHEX2_14-scaffold_2_c2_671	310	1.4e-20	2	123	94	227	0.8962962962962963
GT2.hmm	170	700mSIPHEX2_14-scaffold_2_c2_681	318	4e-31	1	132	4	137	0.7705882352941177
GH3.hmm	216	700mSIPHEX2_14-scaffold_2_c2_83	958	6.3e-59	4	216	85	312	0.9814814814814815
GT4.hmm	160	700mSIPHEX2_14-scaffold_2_c2_84	380	2.9e-37	6	155	195	341	0.93125
GT9.hmm	225	700mSIPHEX2_14-scaffold_2_c2_851	360	9.9e-31	2	203	70	306	0.8933333333333333
GT2.hmm	170	700mSIPHEX2_14-scaffold_2_c2_852	274	6.1e-23	1	102	6	108	0.5941176470588235
GT2.hmm	170	700mSIPHEX2_14-scaffold_2_c2_853	246	1.7e-24	1	133	5	135	0.7764705882352941
