Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
700mSIPHEX2_14-scaffold_10_c1_105	CUS04494.2|GH39	57.7	918	360	5	9	899	341	1257	0.0	1006
700mSIPHEX2_14-scaffold_10_c1_106	CUS04494.2|GH39	54.3	322	147	0	8	329	14	335	5.01e-116	368
700mSIPHEX2_14-scaffold_10_c1_128	CAD7252417.1|GH13	53.2	601	268	6	129	723	341	934	8.99e-186	577
700mSIPHEX2_14-scaffold_10_c1_129	AUC75260.1|GT2	83.1	474	80	0	1	474	1	474	2.12e-286	786
700mSIPHEX2_14-scaffold_10_c1_14	SDT63826.1|GT2	71.4	241	69	0	1	241	1	241	2.85e-128	367
700mSIPHEX2_14-scaffold_10_c1_151	URM35787.1|GH43_28	41.9	456	265	0	2	457	3	458	4.41e-121	366
700mSIPHEX2_14-scaffold_10_c1_158	QXP61139.1|GT28	90.8	368	34	0	1	368	1	368	1.41e-242	667
700mSIPHEX2_14-scaffold_10_c1_182	AEH00517.1|GH13	93.2	473	32	0	1	473	1	473	0.0	907
700mSIPHEX2_14-scaffold_10_c1_183	AXO81840.1|GH13_19	93.4	557	37	0	1	557	1	557	0.0	1081
700mSIPHEX2_14-scaffold_10_c1_184	AEH00519.1|CE0|GH31	93.5	1158	75	0	1	1158	1	1158	0.0	2231
700mSIPHEX2_14-scaffold_10_c1_185	AXO80398.1|GH13	92.5	639	48	0	1	639	1	639	0.0	1216
700mSIPHEX2_14-scaffold_10_c1_186	AEH00521.1|GH65	95.1	768	38	0	1	768	1	768	0.0	1500
700mSIPHEX2_14-scaffold_10_c1_193	AEH00528.1|CBM48|GH13	67.8	971	297	7	3	971	4	960	0.0	1357
700mSIPHEX2_14-scaffold_10_c1_224	CAD7280782.1|GT2	43.3	889	394	10	7	866	351	1158	1.25e-212	672
700mSIPHEX2_14-scaffold_10_c1_23	AXO80243.1|CBM50|GH73	79.5	264	52	1	1	264	7	268	1.03e-147	418
700mSIPHEX2_14-scaffold_10_c1_233	ALR08738.2|GT83	43.7	586	315	7	3	578	2	582	1.07e-162	481
700mSIPHEX2_14-scaffold_10_c1_239	AXT62474.1|CBM6	38.0	1007	416	24	21	989	28	864	2.15e-191	603
700mSIPHEX2_14-scaffold_10_c1_263	BCL69278.1|CBM5	37.8	667	363	21	17	661	40	676	8.74e-104	348
700mSIPHEX2_14-scaffold_10_c1_335	AUS05371.1|CBM32	32.6	864	513	31	1069	1911	475	1290	1.64e-105	375
700mSIPHEX2_14-scaffold_10_c1_341	AXO80528.1|GT5	92.9	269	19	0	1	269	1	269	3.12e-178	496
700mSIPHEX2_14-scaffold_10_c1_346	CAD7245033.1|GT58	62.4	500	151	6	6	498	1055	1524	8.12e-191	589
700mSIPHEX2_14-scaffold_10_c1_416	ACM64804.2|GT51	28.5	1682	1053	46	210	1856	192	1759	9.53e-178	591
700mSIPHEX2_14-scaffold_10_c1_419	AUC74558.1|GT51	85.6	783	113	0	1	783	1	783	0.0	1383
700mSIPHEX2_14-scaffold_115_c1_40	QCE41653.1|GT30	74.9	411	103	0	1	411	1	411	2.61e-225	627
700mSIPHEX2_14-scaffold_115_c1_76	AUS05371.1|CBM32	32.2	882	501	32	457	1314	481	1289	4.25e-103	362
700mSIPHEX2_14-scaffold_115_c1_77	QYO62262.1|GH13	66.5	346	114	1	1	346	1	344	4.78e-149	440
700mSIPHEX2_14-scaffold_14_c1_140	QXP77013.1|CBM35	43.4	904	371	24	3	874	2	796	2.22e-195	584
700mSIPHEX2_14-scaffold_14_c1_145	QXP60723.1|GT51	89.7	786	81	0	1	786	1	786	0.0	1427
700mSIPHEX2_14-scaffold_14_c1_182	AXO81860.1|GT9	77.2	324	73	1	1	324	1	323	2.66e-182	511
700mSIPHEX2_14-scaffold_14_c1_192	QCE41135.1|GT2	75.9	257	62	0	1	257	1	257	2.26e-140	399
700mSIPHEX2_14-scaffold_14_c1_195	AVI59029.1|GT2	48.5	435	217	4	1	432	1	431	1.77e-134	398
700mSIPHEX2_14-scaffold_14_c1_203	AXO80787.1|GT4	97.0	399	12	0	1	399	1	399	2.26e-282	770
700mSIPHEX2_14-scaffold_14_c1_205	AXO80785.1|GT4	91.0	391	35	0	1	391	1	391	5.89e-258	707
700mSIPHEX2_14-scaffold_14_c1_212	CUU39686.1|GT4	50.1	345	166	4	2	346	365	703	2.98e-112	347
700mSIPHEX2_14-scaffold_14_c1_215	QAY63367.1|GT2	63.8	287	104	0	1	287	316	602	1.41e-125	375
700mSIPHEX2_14-scaffold_14_c1_216	QWA11134.1|GT2	55.4	336	143	4	2	334	286	617	4.67e-124	375
700mSIPHEX2_14-scaffold_14_c1_224	AUC74720.1|CBM50|GH23	88.8	529	56	2	1	527	1	528	0.0	950
700mSIPHEX2_14-scaffold_14_c1_242	CAE6110940.1|CE8	44.6	534	275	8	27	551	266	787	1.59e-130	417
700mSIPHEX2_14-scaffold_14_c1_263	CAE6204650.1|GH28	50.1	607	285	6	2	597	745	1344	5.05e-197	594
700mSIPHEX2_14-scaffold_14_c1_346	AUC74627.1|GT51	86.2	225	31	0	4	228	3	227	1.04e-144	407
700mSIPHEX2_14-scaffold_14_c1_60	APX98810.1|GT51	79.1	751	157	0	1	751	1	751	0.0	1206
700mSIPHEX2_14-scaffold_14_c1_91	UBZ08736.1|GH146	52.2	584	255	8	1	569	1	575	9.12e-207	593
700mSIPHEX2_14-scaffold_14_c1_92	QIJ88731.1|GH144	74.4	453	116	0	1	453	1	453	4.89e-250	693
