HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	5mSIPHEX2_18-scaffold_111_c2_16	293	2.6e-19	1	104	9	107	0.6058823529411764
GT2.hmm	170	5mSIPHEX2_18-scaffold_111_c2_17	266	1.5e-33	1	107	7	112	0.6235294117647059
AA1.hmm	358	5mSIPHEX2_18-scaffold_132_c2_39	613	2.6e-67	7	357	71	605	0.9776536312849162
GT51.hmm	177	5mSIPHEX2_18-scaffold_134_c2_16	856	9.8e-67	2	177	58	233	0.9887005649717514
GT19.hmm	354	5mSIPHEX2_18-scaffold_144_c1_27	384	6.7e-137	2	353	11	366	0.9915254237288136
AA3.hmm	618	5mSIPHEX2_18-scaffold_144_c2_15	522	5.4e-66	73	396	20	519	0.5226537216828478
GT2.hmm	170	5mSIPHEX2_18-scaffold_192_c1_18	229	8e-18	1	95	5	91	0.5529411764705883
GH23.hmm	135	5mSIPHEX2_18-scaffold_218_c1_13	648	1.4e-30	6	121	476	613	0.8518518518518519
GT4.hmm	160	5mSIPHEX2_18-scaffold_219_c1_19	519	6.7e-22	10	155	316	470	0.90625
GH166.hmm	224	5mSIPHEX2_18-scaffold_219_c1_25	915	2.4e-74	4	224	37	255	0.9821428571428571
AA3_2.hmm	568	5mSIPHEX2_18-scaffold_219_c1_28	532	1.2e-175	2	566	2	529	0.9929577464788732
GT2.hmm	230	5mSIPHEX2_18-scaffold_231_c1_20	489	9.7e-40	1	230	79	335	0.9956521739130435
PL5.hmm	317	5mSIPHEX2_18-scaffold_231_c1_28	357	1.4e-90	22	316	39	337	0.9274447949526814
AA1.hmm	358	5mSIPHEX2_18-scaffold_232_c1_40	593	4.3e-68	12	357	70	585	0.9636871508379888
AA4.hmm	522	5mSIPHEX2_18-scaffold_237_c1_30	465	4.6e-22	15	200	6	188	0.3544061302681992
GT4.hmm	160	5mSIPHEX2_18-scaffold_258_c1_11	357	2.4e-33	9	151	181	319	0.8875
GT4.hmm	160	5mSIPHEX2_18-scaffold_258_c1_13	370	7.6e-31	12	147	193	328	0.84375
GT2.hmm	170	5mSIPHEX2_18-scaffold_258_c1_14	345	1.3e-32	1	123	28	148	0.7176470588235294
GT2.hmm	170	5mSIPHEX2_18-scaffold_258_c1_15	321	1e-31	1	124	9	130	0.7235294117647059
GT2.hmm	170	5mSIPHEX2_18-scaffold_258_c1_16	343	1.7e-19	1	149	38	186	0.8705882352941177
GT4.hmm	160	5mSIPHEX2_18-scaffold_258_c1_9	376	2.2e-35	7	159	197	349	0.95
GT2.hmm	170	5mSIPHEX2_18-scaffold_261_c1_16	348	2.3e-16	1	115	27	145	0.6705882352941176
GT4.hmm	160	5mSIPHEX2_18-scaffold_261_c1_17	361	2.6e-37	4	148	176	318	0.9
GT4.hmm	160	5mSIPHEX2_18-scaffold_261_c1_22	376	8e-35	9	159	199	349	0.9375
GT4.hmm	160	5mSIPHEX2_18-scaffold_261_c1_27	368	3.3e-27	5	157	185	338	0.95
GT51.hmm	177	5mSIPHEX2_18-scaffold_266_c1_28	246	3.7e-61	10	176	51	217	0.9378531073446328
GT51.hmm	177	5mSIPHEX2_18-scaffold_281_c1_16	814	1.5e-56	9	174	205	374	0.9322033898305084
AA1.hmm	358	5mSIPHEX2_18-scaffold_318_c1_19	607	2.7e-66	7	357	63	599	0.9776536312849162
AA3_2.hmm	568	5mSIPHEX2_18-scaffold_334_c1_15	553	2.1e-176	1	568	11	546	0.9982394366197183
AA1.hmm	358	5mSIPHEX2_18-scaffold_3492_c1_4	533	1.1e-58	8	246	66	337	0.664804469273743
AA1.hmm	358	5mSIPHEX2_18-scaffold_3499_c1_4	528	1.5e-57	7	246	65	337	0.6675977653631285
GH103.hmm	295	5mSIPHEX2_18-scaffold_428_c1_8	362	4.5e-98	5	294	51	353	0.9796610169491525
GH33.hmm	342	5mSIPHEX2_18-scaffold_42_c1_143	434	8.5e-16	15	305	54	332	0.847953216374269
GT4.hmm	160	5mSIPHEX2_18-scaffold_42_c1_16	393	8.3e-22	12	132	197	309	0.75
GH3.hmm	216	5mSIPHEX2_18-scaffold_42_c1_50	338	7.4e-49	9	215	59	282	0.9537037037037037
AA3.hmm	618	5mSIPHEX2_18-scaffold_43_c1_142	523	2.5e-45	88	395	2	519	0.4967637540453074
GH23.hmm	135	5mSIPHEX2_18-scaffold_43_c1_65	537	8.7e-25	2	129	109	254	0.9407407407407408
GH114.hmm	190	5mSIPHEX2_18-scaffold_444_c1_6	269	4.5e-81	1	190	40	229	0.9947368421052631
AA6.hmm	195	5mSIPHEX2_18-scaffold_476_c1_6	198	9.1e-69	2	194	5	193	0.9846153846153847
GT9.hmm	225	5mSIPHEX2_18-scaffold_494_c1_6	353	6.1e-56	1	222	78	330	0.9822222222222222
GT4.hmm	160	5mSIPHEX2_18-scaffold_494_c2_1	315	2.4e-22	6	150	140	278	0.9
GT2.hmm	170	5mSIPHEX2_18-scaffold_494_c2_3	298	8.8e-31	1	121	6	123	0.7058823529411765
GH114.hmm	190	5mSIPHEX2_18-scaffold_559_c1_2	263	5.4e-81	1	190	34	223	0.9947368421052631
GH23.hmm	135	5mSIPHEX2_18-scaffold_579_c2_2	698	3.2e-24	10	123	531	684	0.837037037037037
GT9.hmm	225	5mSIPHEX2_18-scaffold_622_c2_8	348	1.1e-49	3	219	78	314	0.96
GH103.hmm	295	5mSIPHEX2_18-scaffold_63_c1_74	400	8.9e-116	1	295	27	321	0.9966101694915255
GT2.hmm	170	5mSIPHEX2_18-scaffold_658_c1_10	300	1.5e-31	1	126	12	135	0.7352941176470589
GT2.hmm	170	5mSIPHEX2_18-scaffold_658_c1_8	282	1.2e-33	1	108	22	128	0.6294117647058823
AA3.hmm	618	5mSIPHEX2_18-scaffold_659_c3_7	537	1.9e-48	86	400	34	533	0.5080906148867314
GH23.hmm	135	5mSIPHEX2_18-scaffold_71_c1_12	217	2.2e-29	14	121	91	196	0.7925925925925926
GT4.hmm	160	5mSIPHEX2_18-scaffold_731_c1_5	432	1.1e-25	7	159	245	400	0.95
GT28.hmm	157	5mSIPHEX2_18-scaffold_75_c1_103	358	2.5e-47	2	156	184	341	0.9808917197452229
CE11.hmm	271	5mSIPHEX2_18-scaffold_75_c1_109	305	4.1e-116	1	270	4	275	0.992619926199262
GH23.hmm	135	5mSIPHEX2_18-scaffold_80_c1_24	468	1.1e-22	14	122	301	448	0.8
GT2.hmm	170	5mSIPHEX2_18-scaffold_862_c1_5	286	2.6e-34	1	167	4	157	0.9764705882352941
GT105.hmm	131	5mSIPHEX2_18-scaffold_862_c1_6	653	1.3e-19	6	124	84	223	0.9007633587786259
AA3_2.hmm	568	5mSIPHEX2_18-scaffold_883_c1_10	538	3.9e-175	2	566	3	529	0.9929577464788732
CE1.hmm	227	5mSIPHEX2_18-scaffold_89_c1_60	282	3.1e-51	1	223	24	275	0.9779735682819384
