HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE1.hmm	227	5mSIPHEX1_8-scaffold_1016_c1_7	266	5.5e-21	10	143	32	192	0.5859030837004405
GH103.hmm	295	5mSIPHEX1_8-scaffold_117_c1_40	266	3.2e-58	1	205	31	232	0.6915254237288135
GH102.hmm	157	5mSIPHEX1_8-scaffold_139_c1_7	331	1.8e-42	1	157	88	222	0.9936305732484076
GH103.hmm	295	5mSIPHEX1_8-scaffold_139_c1_75	452	1e-112	1	295	83	377	0.9966101694915255
GT2.hmm	230	5mSIPHEX1_8-scaffold_141_c1_54	409	2.5e-25	1	217	4	216	0.9391304347826087
GT4.hmm	160	5mSIPHEX1_8-scaffold_141_c1_56	367	7.9e-19	6	124	198	315	0.7375
GT2.hmm	96	5mSIPHEX1_8-scaffold_141_c1_57	337	3.5e-26	1	95	49	145	0.9791666666666666
GT14.hmm	250	5mSIPHEX1_8-scaffold_141_c1_58	566	1.7e-46	4	240	6	247	0.944
AA4.hmm	522	5mSIPHEX1_8-scaffold_1423_c1_5	468	2.1e-23	41	249	38	237	0.39846743295019155
GT30.hmm	177	5mSIPHEX1_8-scaffold_1484_c1_5	425	7.6e-43	1	174	40	210	0.9774011299435028
GT4.hmm	160	5mSIPHEX1_8-scaffold_1484_c1_7	353	2.4e-37	7	159	164	321	0.95
GH109.hmm	399	5mSIPHEX1_8-scaffold_152_c1_100	331	2e-17	6	157	3	143	0.37844611528822053
GH103.hmm	295	5mSIPHEX1_8-scaffold_152_c1_64	391	3.1e-90	1	294	28	318	0.9932203389830508
GH109.hmm	399	5mSIPHEX1_8-scaffold_152_c1_94	368	1.1e-22	11	204	4	195	0.48370927318295737
GH109.hmm	399	5mSIPHEX1_8-scaffold_152_c1_96	378	4.9e-18	5	202	3	201	0.49373433583959897
GT2.hmm	96	5mSIPHEX1_8-scaffold_157_c1_24	349	8e-25	1	94	10	109	0.96875
GH108.hmm	86	5mSIPHEX1_8-scaffold_157_c1_36	204	2.5e-28	3	86	9	97	0.9651162790697675
AA3_2.hmm	568	5mSIPHEX1_8-scaffold_167_c1_75	537	1.6e-176	3	568	3	530	0.9947183098591549
CE1.hmm	227	5mSIPHEX1_8-scaffold_189_c1_63	265	2.5e-21	3	143	25	174	0.6167400881057269
GT51.hmm	177	5mSIPHEX1_8-scaffold_194_c1_26	837	3.1e-62	2	176	60	235	0.9830508474576272
GH13_23.hmm	344	5mSIPHEX1_8-scaffold_196_c1_50	552	3.4e-155	1	343	42	389	0.9941860465116279
GH1.hmm	429	5mSIPHEX1_8-scaffold_196_c1_55	441	2.7e-147	2	424	6	438	0.9836829836829837
GT4.hmm	160	5mSIPHEX1_8-scaffold_196_c1_8	356	1.1e-20	25	158	199	326	0.83125
GT4.hmm	160	5mSIPHEX1_8-scaffold_196_c1_9	413	3.4e-28	11	154	230	377	0.89375
AA3_2.hmm	568	5mSIPHEX1_8-scaffold_203_c1_45	536	5.5e-159	2	562	2	528	0.9859154929577465
AA1.hmm	358	5mSIPHEX1_8-scaffold_212_c1_34	476	2.6e-58	17	357	64	468	0.9497206703910615
AA6.hmm	195	5mSIPHEX1_8-scaffold_215_c1_26	192	1.9e-37	3	194	9	184	0.9794871794871794
AA3.hmm	618	5mSIPHEX1_8-scaffold_220_c1_12	547	1.2e-52	89	398	6	545	0.5
GT30.hmm	177	5mSIPHEX1_8-scaffold_220_c1_4	407	2.1e-26	10	168	28	182	0.8926553672316384
CE1.hmm	227	5mSIPHEX1_8-scaffold_220_c1_41	277	1e-49	1	224	21	271	0.9823788546255506
AA6.hmm	195	5mSIPHEX1_8-scaffold_2322_c1_5	197	3.4e-53	1	194	4	193	0.9897435897435898
CE1.hmm	227	5mSIPHEX1_8-scaffold_2340_c1_4	280	9.7e-58	1	225	23	275	0.986784140969163
GH23.hmm	135	5mSIPHEX1_8-scaffold_243_c1_17	657	4.3e-23	20	119	493	621	0.7333333333333333
GT4.hmm	160	5mSIPHEX1_8-scaffold_268_c1_25	359	9.1e-21	32	156	203	325	0.775
GT4.hmm	160	5mSIPHEX1_8-scaffold_268_c1_26	415	3.6e-26	12	154	230	376	0.8875
GH13_23.hmm	344	5mSIPHEX1_8-scaffold_298_c1_13	538	1.2e-152	1	343	27	372	0.9941860465116279
CBM48.hmm	76	5mSIPHEX1_8-scaffold_298_c1_14	739	1.2e-17	2	67	130	212	0.8552631578947368
GH13_9.hmm	301	5mSIPHEX1_8-scaffold_298_c1_14	739	2.1e-161	1	301	283	583	0.9966777408637874
GT5.hmm	472	5mSIPHEX1_8-scaffold_298_c1_16	477	6.8e-153	2	471	4	472	0.9936440677966102
CBM48.hmm	76	5mSIPHEX1_8-scaffold_298_c1_17	710	2.4e-19	2	71	25	116	0.9078947368421053
GH13_11.hmm	351	5mSIPHEX1_8-scaffold_298_c1_17	710	3e-157	1	351	196	544	0.9971509971509972
GH109.hmm	399	5mSIPHEX1_8-scaffold_305_c1_17	375	9.6e-17	4	188	2	183	0.46115288220551376
GH25.hmm	177	5mSIPHEX1_8-scaffold_305_c1_2	255	1.4e-45	2	175	51	226	0.9774011299435028
GT51.hmm	177	5mSIPHEX1_8-scaffold_313_c1_29	740	5.5e-55	9	176	132	320	0.943502824858757
GT14.hmm	250	5mSIPHEX1_8-scaffold_313_c1_38	526	1.4e-53	1	235	4	246	0.936
AA3_2.hmm	568	5mSIPHEX1_8-scaffold_344_c1_17	550	8.9e-161	4	566	4	526	0.9894366197183099
GH63.hmm	570	5mSIPHEX1_8-scaffold_344_c1_2	419	6.4e-42	362	562	30	404	0.3508771929824561
GT51.hmm	177	5mSIPHEX1_8-scaffold_362_c1_24	245	2.2e-47	10	174	69	228	0.9265536723163842
GT51.hmm	177	5mSIPHEX1_8-scaffold_369_c1_6	666	2.9e-47	13	175	64	226	0.9152542372881356
GH23.hmm	135	5mSIPHEX1_8-scaffold_382_c1_10	196	5.6e-32	14	115	92	190	0.7481481481481481
GT19.hmm	354	5mSIPHEX1_8-scaffold_382_c1_29	388	1.7e-114	1	345	6	364	0.9717514124293786
GH36.hmm	688	5mSIPHEX1_8-scaffold_383_c1_20	695	5.1e-188	3	675	6	647	0.9767441860465116
GH42.hmm	371	5mSIPHEX1_8-scaffold_383_c1_25	644	1.9e-154	1	370	8	402	0.9946091644204852
GH23.hmm	135	5mSIPHEX1_8-scaffold_383_c1_33	209	1.7e-18	15	105	85	176	0.6666666666666666
GT2.hmm	230	5mSIPHEX1_8-scaffold_400_c1_27	314	4e-19	3	214	2	224	0.9173913043478261
GT4.hmm	160	5mSIPHEX1_8-scaffold_400_c1_28	419	4.2e-32	11	151	220	358	0.875
GT2.hmm	170	5mSIPHEX1_8-scaffold_400_c1_31	281	8.5e-16	1	146	5	147	0.8529411764705882
GT30.hmm	177	5mSIPHEX1_8-scaffold_411_c1_26	243	2.3e-37	2	164	38	204	0.9152542372881356
GT1.hmm	382	5mSIPHEX1_8-scaffold_426_c1_21	273	8.1e-19	220	359	50	220	0.36387434554973824
GT4.hmm	160	5mSIPHEX1_8-scaffold_426_c1_8	755	2e-22	9	152	575	719	0.89375
CE9.hmm	373	5mSIPHEX1_8-scaffold_459_c1_20	390	5.3e-106	3	352	10	357	0.935656836461126
GT2.hmm	96	5mSIPHEX1_8-scaffold_468_c1_7	312	2.5e-16	3	91	13	109	0.9166666666666666
GH3.hmm	216	5mSIPHEX1_8-scaffold_474_c1_12	335	4.2e-41	10	215	58	275	0.9490740740740741
GT2.hmm	230	5mSIPHEX1_8-scaffold_559_c1_14	629	8.7e-38	1	228	255	482	0.9869565217391304
GT4.hmm	160	5mSIPHEX1_8-scaffold_563_c1_5	416	1.3e-18	9	150	214	368	0.88125
GH23.hmm	135	5mSIPHEX1_8-scaffold_569_c1_20	270	5.3e-31	11	122	136	246	0.8222222222222222
GH103.hmm	295	5mSIPHEX1_8-scaffold_570_c1_13	381	6e-81	1	209	49	258	0.7050847457627119
GT107.hmm	532	5mSIPHEX1_8-scaffold_68_c2_14	671	2.3e-91	217	499	48	329	0.5300751879699248
GT107.hmm	532	5mSIPHEX1_8-scaffold_68_c2_14	671	1.7e-126	146	525	307	666	0.7124060150375939
GT81.hmm	293	5mSIPHEX1_8-scaffold_729_c1_3	409	4.4e-65	11	274	25	321	0.8976109215017065
GH13_18.hmm	343	5mSIPHEX1_8-scaffold_729_c1_4	582	5.5e-138	2	343	93	433	0.9941690962099126
GT28.hmm	157	5mSIPHEX1_8-scaffold_88_c1_115	366	5e-45	2	157	186	348	0.9872611464968153
CE11.hmm	271	5mSIPHEX1_8-scaffold_88_c1_127	308	2.2e-97	1	270	2	274	0.992619926199262
GH109.hmm	399	5mSIPHEX1_8-scaffold_88_c1_6	331	2.1e-20	4	167	2	157	0.40852130325814534
GH2.hmm	752	5mSIPHEX1_8-scaffold_88_c1_77	801	4.3e-88	30	507	2	640	0.6343085106382979
AA1.hmm	358	5mSIPHEX1_8-scaffold_908_c1_6	469	2.7e-38	18	358	63	460	0.9497206703910615
