Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX1_2-scaffold_112_c1_1	2.4.1.161:1	GH31(229-667)	GH31_e76	GH31	Y(1-27)	3
700mSIPHEX1_2-scaffold_112_c1_90	3.2.1.21:51|3.2.1.38:2|3.2.1.-:1	GH1(14-442)	GH1_e107	GH1	N	3
700mSIPHEX1_2-scaffold_112_c1_92	3.2.1.21:3|3.2.1.74:3|3.2.1.-:3|3.2.1.6:2|3.2.1.155:1	GH3(145-365)	GH3_e227	GH3	Y(1-22)	3
700mSIPHEX1_2-scaffold_125_c1_40	-	GH73(171-309)	GH73_e91	GH73	N	3
700mSIPHEX1_2-scaffold_125_c1_59	-	GH23(301-452)	GH23_e170	GH23	Y(1-34)	3
700mSIPHEX1_2-scaffold_125_c1_68	2.4.1.182:13	GT19(7-365)	GT19_e17	GT19	N	3
700mSIPHEX1_2-scaffold_128_c1_18	2.4.1.4:1	GH13_4(110-502)	GH13_e129	GH13_4	N	3
700mSIPHEX1_2-scaffold_128_c1_33	-	CE1(411-634)	-	-	Y(1-19)	1
700mSIPHEX1_2-scaffold_128_c1_86	3.2.1.39:2	GH16_3(49-324)	GH16_e252	GH16_3	Y(1-28)	3
700mSIPHEX1_2-scaffold_139_c1_10	2.4.1.227:11	GT28(218-377)	GT28_e46	GT28	N	3
700mSIPHEX1_2-scaffold_139_c1_16	3.5.1.108:18	CE11(4-276)	CE11_e22	CE11	N	3
700mSIPHEX1_2-scaffold_139_c1_57	3.5.1.80:1	CE9(9-391)	CE9_e15	CE9	N	3
700mSIPHEX1_2-scaffold_144_c1_43	-	PL22(307-413)	-	-	Y(1-22)	1
700mSIPHEX1_2-scaffold_150_c1_29	-	AA3_2(3-527)	AA3_e57	AA3_2	N	3
700mSIPHEX1_2-scaffold_150_c1_35	-	GH13(30-314)	GH13_e93	GH13	N	3
700mSIPHEX1_2-scaffold_150_c1_44	-	GH103(26-320)	GH103_e33	GH103	Y(1-22)	3
700mSIPHEX1_2-scaffold_150_c1_59	-	AA3_2(7-535)	AA3_e57	AA3_2	N	3
700mSIPHEX1_2-scaffold_153_c1_48	2.4.1.129:12	GT51(54-229)	GT51_e130	GT51	N	3
700mSIPHEX1_2-scaffold_153_c1_8	-	GH103(52-345)	GH103_e38	GH103	Y(1-49)	3
700mSIPHEX1_2-scaffold_153_c1_9	-	GT51(176-346)	GT51_e15	GT51	N	3
700mSIPHEX1_2-scaffold_163_c1_14	4.2.2.-:1|4.2.2.11:4|4.2.2.-:3|4.2.2.26:1	PL6(28-399)+PL6_1(469-699)	PL6_e0+PL6_e5	PL6_1	Y(1-26)	3
700mSIPHEX1_2-scaffold_163_c1_15	4.2.2.26:6|4.2.2.3:2|4.2.2.26:6|4.2.2.3:2	PL17_2(186-268)+PL17(389-522)	PL17_e4+PL17_e4	PL17_2	Y(1-28)	3
700mSIPHEX1_2-scaffold_163_c1_23	4.2.2.3:4|4.2.2.11:1|4.2.2.3:7|4.2.2.11:6|4.2.2.-:1	CBM32(75-195)+PL7_5(219-486)	CBM32_e174+PL7_e24	CBM32+PL7_5	Y(1-44)	3
700mSIPHEX1_2-scaffold_163_c1_25	4.2.2.3:2|4.2.2.-:2|4.2.2.11:1	PL7_5(33-342)	PL7_e12	PL7_5	Y(1-26)	3
700mSIPHEX1_2-scaffold_169_c1_54	-	CE13(67-253)	-	-	Y(1-26)	1
