Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
700mSIPHEX1_2-scaffold_112_c1_1	BCO24935.1|GH31	72.3	794	207	3	19	799	17	810	0.0	1178
700mSIPHEX1_2-scaffold_112_c1_20	QYU66396.1|GH13_23	51.1	468	212	5	18	481	2	456	4.93e-134	410
700mSIPHEX1_2-scaffold_112_c1_40	QYO62262.1|GH13	67.9	340	108	1	3	342	2	340	2.54e-144	428
700mSIPHEX1_2-scaffold_112_c1_90	APE07259.1|GH1	90.6	449	42	0	1	449	1	449	8.43e-313	851
700mSIPHEX1_2-scaffold_112_c1_92	APE07257.1|GH3	88.4	859	90	1	1	859	1	849	0.0	1513
700mSIPHEX1_2-scaffold_120_c1_24	CUS02883.2|GH3	56.7	344	145	1	5	344	2	345	5.33e-140	405
700mSIPHEX1_2-scaffold_120_c1_42	AUC86945.1|GT1	87.6	355	44	0	1	355	1	355	6.99e-241	661
700mSIPHEX1_2-scaffold_120_c1_44	CDM22846.1|GT51	54.0	411	187	1	4	412	895	1305	1.50e-146	454
700mSIPHEX1_2-scaffold_120_c1_7	ATE86697.1|GH36	49.2	494	241	6	7	495	720	1208	1.72e-152	471
700mSIPHEX1_2-scaffold_120_c1_83	QSX34227.1|CBM2	40.2	1058	418	14	230	1281	248	1096	9.82e-225	692
700mSIPHEX1_2-scaffold_125_c1_26	AGP84806.1|GT0	79.8	321	65	0	1	321	1	321	1.16e-188	526
700mSIPHEX1_2-scaffold_125_c1_40	APE06046.1|GH73	86.8	318	42	0	1	318	1	318	4.18e-196	545
700mSIPHEX1_2-scaffold_125_c1_41	CAD7222057.1|GH73	58.7	341	134	2	23	362	217	551	3.04e-127	390
700mSIPHEX1_2-scaffold_125_c1_59	APE06064.1|GH23	88.7	460	52	0	1	460	1	460	8.51e-302	824
700mSIPHEX1_2-scaffold_125_c1_66	AWZ17133.1|GH13_30	35.3	1194	710	19	3	1150	404	1580	2.12e-210	655
700mSIPHEX1_2-scaffold_125_c1_68	AUC87597.1|GT19	87.4	382	48	0	1	382	1	382	8.00e-240	661
