Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
700mSIPHEX1_12-scaffold_14_c1_11	-	GT2(4-166)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_14_c1_218	-	CE1(12-202)	-	-	N	1
700mSIPHEX1_12-scaffold_14_c1_260	-	GH3(104-328)	GH3_e104	GH3	Y(1-22)	3
700mSIPHEX1_12-scaffold_14_c1_261	-	GT4(194-341)	GT4_e2566	GT4	N	3
700mSIPHEX1_12-scaffold_14_c1_306	-	CE11(8-226)	CE11_e29	CE11	N	3
700mSIPHEX1_12-scaffold_14_c1_40	3.2.1.21:20|3.2.1.-:6	GH3(103-324)	GH3_e1	GH3	Y(1-24)	3
700mSIPHEX1_12-scaffold_14_c1_461	3.2.1.52:6	GH20(183-499)	GH20_e114	GH20	Y(1-31)	3
700mSIPHEX1_12-scaffold_21_c1_101	-	GT2(6-160)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_21_c1_139	-	GT2(6-167)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_21_c1_145	-	GH171(70-420)	GH171_e3	GH171	Y(1-24)	3
700mSIPHEX1_12-scaffold_21_c1_163	-	GH23(106-241)	GH23_e357	GH23	Y(1-27)	3
700mSIPHEX1_12-scaffold_21_c1_265	3.2.1.49:3	GH109(33-439)	GH109_e1	GH109	Y(1-28)	3
700mSIPHEX1_12-scaffold_21_c1_28	3.2.1.14:1	GH18(51-375)	GH18_e268	GH18	Y(1-23)	3
700mSIPHEX1_12-scaffold_21_c1_287	-	GT105(107-226)	GT105_e8	-	N	2
700mSIPHEX1_12-scaffold_21_c1_289	-	GT2(5-122)	GT2	-	N	2
700mSIPHEX1_12-scaffold_21_c1_57	-	GT9(69-319)	GT9_e319	GT9	N	3
700mSIPHEX1_12-scaffold_21_c1_59	-	GT2(8-115)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_21_c1_60	-	GT2(6-109)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_21_c1_87	-	GT2(6-183)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_35_c1_112	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(33-381)	GH13_e122	GH13_31	N	3
700mSIPHEX1_12-scaffold_35_c1_125	-	CBM9(60-262)	-	CBM0	Y(1-19)	2
700mSIPHEX1_12-scaffold_35_c1_132	-	GT2(5-183)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_35_c1_159	-	CE14(6-111)	CE14_e27	CE14	N	3
700mSIPHEX1_12-scaffold_35_c1_171	-	GT4(177-323)	GT4_e3391	GT4	N	3
700mSIPHEX1_12-scaffold_35_c1_79	-	GT4(202-356)	GT4_e2685	GT4	N	3
700mSIPHEX1_12-scaffold_37_c1_12	-	GT30(45-214)	GT30_e55	GT30	Y(1-23)	3
700mSIPHEX1_12-scaffold_37_c1_30	-	GT2(5-142)	GT2	GT2	N	3
700mSIPHEX1_12-scaffold_37_c2_188	-|-	GH73(75-203)	GH73_e68+CBM50_e945	CBM50+GH73	Y(1-22)	3
700mSIPHEX1_12-scaffold_37_c2_2	-	GT105(80-210)	GT105_e8	-	N	2
